,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_205_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,a,2192.858333333333
office1_0_205_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,a,3254.615
office1_0_205_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,205.0,a,2087.805
office1_0_205_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,b,5009.1883333333335
office1_0_205_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,b,4148.545
office1_0_205_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,b,1936.09
office1_0_205_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,205.0,b,1639.41
office1_0_205_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,205.0,b,1567.3183333333334
office1_0_246_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,a,4711.155
office1_0_246_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,a,3076.61
