,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office6_360_82_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,360.0,82.0,b,741.97
office6_360_82_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,360.0,82.0,b,585.5033333333333
office6_360_82_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,360.0,82.0,b,1047.0833333333333
office6_360_82_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,360.0,82.0,b,3793.0416666666665
office6_660_0_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,0.0,off,1889.42
office6_660_0_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,0.0,off,1254.7416666666666
office6_660_0_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,0.0,off,775.595
office6_660_0_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,0.0,off,1349.1283333333333
office6_660_0_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,0.0,off,2940.3233333333333
office6_660_164_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,a,2394.53
office6_660_164_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,a,1326.3783333333333
office6_660_164_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,a,1263.1416666666667
office6_660_164_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,a,287.85333333333335
office6_660_164_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,164.0,a,4206.288333333333
office6_660_164_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,b,947.4966666666667
office6_660_164_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,b,1578.17
office6_660_164_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,b,825.79
office6_660_164_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,164.0,b,1099.095
office6_660_164_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,164.0,b,2704.3516666666665
office6_660_246_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,a,2415.5333333333333
office6_660_246_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,a,1510.57
office6_660_246_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,a,1352.34
office6_660_246_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,a,743.6216666666667
office6_660_246_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,246.0,a,3934.1516666666666
office6_660_246_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,b,1511.62
office6_660_246_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,b,1660.0466666666666
office6_660_246_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,b,892.9483333333334
office6_660_246_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,246.0,b,665.3883333333333
office6_660_246_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,246.0,b,3528.94
office6_660_82_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,a,1540.68
office6_660_82_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,a,1173.4016666666666
office6_660_82_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,a,933.9916666666667
office6_660_82_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,a,1433.1516666666666
office6_660_82_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,82.0,a,2493.1466666666665
office6_660_82_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,b,1680.5766666666666
office6_660_82_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,b,901.5966666666667
office6_660_82_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,b,1035.3383333333334
office6_660_82_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,660.0,82.0,b,743.4866666666667
office6_660_82_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,660.0,82.0,b,2197.995
office6_960_0_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,0.0,off,1463.9716666666666
office6_960_0_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,0.0,off,1349.9616666666666
office6_960_0_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,0.0,off,1486.0816666666667
office6_960_0_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,0.0,off,2814.4016666666666
office6_960_0_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,0.0,off,2335.8983333333335
office6_960_164_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,a,1599.0033333333333
office6_960_164_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,a,1254.3166666666666
office6_960_164_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,a,1513.6433333333334
office6_960_164_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,a,1414.3666666666666
office6_960_164_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,164.0,a,3321.068333333333
office6_960_164_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,b,1211.6016666666667
office6_960_164_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,b,1140.095
office6_960_164_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,b,1278.8283333333334
office6_960_164_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,164.0,b,1231.8866666666668
office6_960_164_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,164.0,b,1376.7733333333333
office6_960_246_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,a,1335.14
office6_960_246_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,a,809.575
office6_960_246_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,a,1922.6583333333333
office6_960_246_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,a,1506.1916666666666
office6_960_246_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,246.0,a,3571.3166666666666
office6_960_246_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,b,1298.2583333333334
office6_960_246_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,b,1232.9533333333334
office6_960_246_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,b,1011.4116666666666
office6_960_246_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,246.0,b,1668.4133333333334
office6_960_246_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,246.0,b,2900.693333333333
office6_960_82_aout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,a,1081.9366666666667
office6_960_82_aout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,a,1096.755
office6_960_82_aout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,a,1239.9316666666666
office6_960_82_aout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,a,495.21166666666664
office6_960_82_aout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,82.0,a,2450.8716666666664
office6_960_82_bout_A,office6,4.734,0.81,180.0,1,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,b,1024.2883333333334
office6_960_82_bout_B,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,1,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,b,872.2433333333333
office6_960_82_bout_C,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,1,2.984,2.26,180.0,0,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,b,1002.6183333333333
office6_960_82_bout_D,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,1,2.984,0.81,180.0,0,6.0,5.5,960.0,82.0,b,952.5233333333333
office6_960_82_bout_E,office6,4.734,0.81,180.0,0,4.734,2.26,180.0,0,4.734,3.71,180.0,0,2.984,2.26,180.0,0,2.984,0.81,180.0,1,6.0,5.5,960.0,82.0,b,1702.18
office7_0_0_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,0.0,off,1782.065
office7_0_0_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,0.0,off,3237.0816666666665
office7_0_0_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,0.0,off,3679.195
office7_0_0_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,0.0,off,3746.193333333333
office7_0_0_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,0.0,off,2586.931666666667
office7_0_164_aout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,a,1640.0083333333334
office7_0_164_aout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,a,3323.5016666666666
office7_0_164_aout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,a,2993.275
office7_0_164_aout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,a,3768.55
office7_0_164_aout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,164.0,a,1601.425
office7_0_164_bout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,b,1617.015
office7_0_164_bout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,b,3427.9066666666668
office7_0_164_bout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,b,5019.431666666666
office7_0_164_bout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,164.0,b,2081.891666666667
office7_0_164_bout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,164.0,b,2703.298333333333
office7_0_246_aout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,a,1341.0183333333334
office7_0_246_aout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,a,1126.9
office7_0_246_aout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,a,3648.7633333333333
office7_0_246_aout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,a,3096.9133333333334
office7_0_246_aout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,246.0,a,1480.22
office7_0_246_bout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,b,1747.0866666666666
office7_0_246_bout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,b,4123.116666666667
office7_0_246_bout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,b,3479.9616666666666
office7_0_246_bout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,246.0,b,3491.755
office7_0_246_bout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,246.0,b,3835.2883333333334
office7_0_82_aout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,a,2346.1033333333335
office7_0_82_aout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,a,2485.383333333333
office7_0_82_aout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,a,4434.916666666667
office7_0_82_aout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,a,3829.5133333333333
office7_0_82_aout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,82.0,a,2076.0016666666666
office7_0_82_bout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,b,1732.42
office7_0_82_bout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,b,3235.245
office7_0_82_bout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,b,3408.8566666666666
office7_0_82_bout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,0.0,82.0,b,3218.0833333333335
office7_0_82_bout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,0.0,82.0,b,2186.681666666667
office7_360_0_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,0.0,off,3046.9366666666665
office7_360_0_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,0.0,off,2205.03
office7_360_0_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,0.0,off,394.1433333333333
office7_360_0_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,360.0,0.0,off,430.49333333333334
office7_360_0_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,360.0,0.0,off,2682.5016666666666
office7_360_164_aout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,a,2433.41
office7_360_164_aout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,a,1720.4016666666666
office7_360_164_aout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,a,722.22
office7_360_164_aout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,a,661.61
office7_360_164_aout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,360.0,164.0,a,1382.7066666666667
office7_360_164_bout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,b,2970.2916666666665
office7_360_164_bout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,b,1282.7383333333332
office7_360_164_bout_C,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,1,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,b,482.28333333333336
office7_360_164_bout_D,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,1,2.76,1.141,90.0,0,9.0,4.0,360.0,164.0,b,539.6
office7_360_164_bout_E,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,1,9.0,4.0,360.0,164.0,b,3100.03
office7_360_246_aout_A,office7,1.266,2.29,0.0,1,3.14,3.059,270.0,0,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,246.0,a,2261.26
office7_360_246_aout_B,office7,1.266,2.29,0.0,0,3.14,3.059,270.0,1,4.59,3.059,270.0,0,4.21,1.141,90.0,0,2.76,1.141,90.0,0,9.0,4.0,360.0,246.0,a,1890.265
