,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_960_205_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,205.0,a,1416.1323333333337
office1_960_205_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,205.0,b,1175.4756666666667
office1_960_246_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,246.0,a,1351.4506666666666
office1_960_246_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,246.0,b,1748.890666666667
office1_960_41_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,41.0,a,1033.294
office1_960_41_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,41.0,b,1788.2726666666667
office1_960_82_aout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,82.0,a,1263.9489999999998
office1_960_82_bout,office1,4.76,2.18,180.0,3.285,3.16,270.0,1.835,3.16,270.0,1.435,1.241,90.0,2.885,1.241,90.0,6.0,5.5,960.0,82.0,b,2439.936333333333
office2_0_0,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,0.0,off,3629.143666666667
office2_0_164_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,164.0,a,3452.98
office2_0_164_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,164.0,b,2322.2413333333334
office2_0_246_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,246.0,a,2855.4666666666667
office2_0_246_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,246.0,b,2692.123333333333
office2_0_82_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,82.0,a,3965.822666666667
office2_0_82_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,0.0,82.0,b,3006.3646666666664
office2_360_0,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,0.0,off,1126.996666666667
office2_360_164_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,164.0,a,1476.4036666666666
office2_360_164_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,164.0,b,2446.215333333333
office2_360_246_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,246.0,a,1345.2973333333332
office2_360_246_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,246.0,b,2146.864333333333
office2_360_82_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,82.0,a,1349.8903333333333
office2_360_82_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,360.0,82.0,b,1857.7096666666664
office2_660_0,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,0.0,off,1933.7216666666664
office2_660_164_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,164.0,a,2457.9546666666665
office2_660_164_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,164.0,b,1476.6066666666666
office2_660_246_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,246.0,a,2751.859
office2_660_246_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,246.0,b,1773.7783333333334
