A new study created in RDB with name: Poly_Lasso_102548
Trial 0 finished with value: 0.7924981087091016 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 0.01518090270020761, 'max_iter': 5218}. Best is trial 0 with value: 0.7924981087091016.
Trial 16 finished with value: 0.4662195794586069 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.0007474437563523482, 'max_iter': 3986}. Best is trial 0 with value: 0.7924981087091016.
Trial 7 finished with value: 0.7740185339479873 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 4.817827003768996, 'max_iter': 84632}. Best is trial 0 with value: 0.7924981087091016.
Trial 10 finished with value: 0.6697713102576196 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 6.10575181542107, 'max_iter': 45934}. Best is trial 15 with value: 0.8263255138306743.
Trial 8 finished with value: 0.5503982439226007 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.07219133465170431, 'max_iter': 22965}. Best is trial 0 with value: 0.7924981087091016.
Trial 15 finished with value: 0.8263255138306743 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 1.509548907796394, 'max_iter': 11118}. Best is trial 15 with value: 0.8263255138306743.
Trial 13 finished with value: 0.7532348821289732 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.0002520168772582326, 'max_iter': 3016}. Best is trial 15 with value: 0.8263255138306743.
Trial 19 finished with value: 0.4666028505882851 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.15576032021697653, 'max_iter': 35898}. Best is trial 15 with value: 0.8263255138306743.
Trial 6 finished with value: 0.8207456444937902 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.01423210452802662, 'max_iter': 1032}. Best is trial 15 with value: 0.8263255138306743.
Trial 2 finished with value: 0.4086977754712088 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 0.0008788993141977346, 'max_iter': 3307}. Best is trial 15 with value: 0.8263255138306743.
Trial 18 finished with value: 0.7734944324833448 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.00017710577594041827, 'max_iter': 15506}. Best is trial 15 with value: 0.8263255138306743.
Trial 11 finished with value: 0.7818392889813546 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.0007228345848129395, 'max_iter': 97442}. Best is trial 15 with value: 0.8263255138306743.
