A new study created in RDB with name: Poly_ElasticNet_104731
Trial 43 finished with value: 0.2902561596579885 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.4999634118703245, 'l1_ratio': 0.29334475250792325, 'max_iter': 46096}. Best is trial 43 with value: 0.2902561596579885.
Trial 47 finished with value: -1.8429908634556822 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.0002773959716756615, 'l1_ratio': 0.20904513979224282, 'max_iter': 20017}. Best is trial 43 with value: 0.2902561596579885.
Trial 49 finished with value: -4.896807312158836 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.00666270107311003, 'l1_ratio': 0.08093452399883727, 'max_iter': 64242}. Best is trial 43 with value: 0.2902561596579885.
Trial 22 finished with value: 0.09686445911680927 and parameters: {'n_components': 7, 'degree': 4, 'alpha': 0.9437071686564363, 'l1_ratio': 0.8042742782847003, 'max_iter': 15183}. Best is trial 43 with value: 0.2902561596579885.
Trial 7 finished with value: 0.45362337450454016 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 0.00041621743691254843, 'l1_ratio': 0.7207936036570787, 'max_iter': 13590}. Best is trial 7 with value: 0.45362337450454016.
Trial 53 finished with value: -4.501539757363872 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.16477378795959774, 'l1_ratio': 0.4091790622554956, 'max_iter': 82066}. Best is trial 7 with value: 0.45362337450454016.
Trial 39 finished with value: 0.11441856080854179 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.0009731531462991241, 'l1_ratio': 0.6151454170382983, 'max_iter': 18217}. Best is trial 7 with value: 0.45362337450454016.
Trial 55 finished with value: -0.006597553801558487 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.7838591772725204, 'l1_ratio': 0.4924565226998876, 'max_iter': 7340}. Best is trial 7 with value: 0.45362337450454016.
Trial 56 finished with value: -0.08317671069315806 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.6642777858628844, 'l1_ratio': 0.008598046215513633, 'max_iter': 70589}. Best is trial 7 with value: 0.45362337450454016.
Trial 21 finished with value: 0.18316362452465845 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.00016128951777187657, 'l1_ratio': 0.6116550849948603, 'max_iter': 43082}. Best is trial 7 with value: 0.45362337450454016.
Trial 58 finished with value: -0.3933204656013095 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 6.6183275266607575, 'l1_ratio': 0.6166543480415393, 'max_iter': 22695}. Best is trial 7 with value: 0.45362337450454016.
