A new study created in RDB with name: SVR_172814
Trial 29 finished with value: -1.6367206572104884 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.33434610702550194, 'degree': 4, 'C': 0.9545376752085831}. Best is trial 24 with value: -0.0199970989182792.
Trial 33 finished with value: -1.4163028661002104 and parameters: {'kernel': 'poly', 'epsilon': 0.3379341407396037, 'degree': 5, 'C': 2.5292463544831105}. Best is trial 39 with value: -0.018597391464526103.
Trial 37 finished with value: -5.417658073953837 and parameters: {'kernel': 'rbf', 'epsilon': 0.5841926463457499, 'degree': 2, 'C': 0.00018179922931406506}. Best is trial 39 with value: -0.018597391464526103.
Trial 34 finished with value: -5.418480297989534 and parameters: {'kernel': 'rbf', 'epsilon': 0.6730414523539512, 'degree': 2, 'C': 0.00210612280918819}. Best is trial 39 with value: -0.018597391464526103.
Trial 32 finished with value: -5.413158519221837 and parameters: {'kernel': 'rbf', 'epsilon': 0.9268458242278164, 'degree': 6, 'C': 0.0004041415963891905}. Best is trial 39 with value: -0.018597391464526103.
Trial 39 finished with value: -0.018597391464526103 and parameters: {'kernel': 'linear', 'epsilon': 0.7060617621568733, 'degree': 5, 'C': 5.272268729760669}. Best is trial 39 with value: -0.018597391464526103.
Trial 41 finished with value: -3.98530830268394 and parameters: {'kernel': 'linear', 'epsilon': 0.8676859008295708, 'degree': 6, 'C': 0.006756869763175774}. Best is trial 39 with value: -0.018597391464526103.
Trial 40 finished with value: -5.278046778365296 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.08421190017699098, 'degree': 3, 'C': 0.01063317792793547}. Best is trial 39 with value: -0.018597391464526103.
Trial 27 finished with value: -5.239137406618281 and parameters: {'kernel': 'rbf', 'epsilon': 0.9630375938286948, 'degree': 6, 'C': 0.03938452712414062}. Best is trial 39 with value: -0.018597391464526103.
Trial 36 finished with value: -0.2594402379229827 and parameters: {'kernel': 'linear', 'epsilon': 0.7951006674745543, 'degree': 2, 'C': 0.1770401354784769}. Best is trial 39 with value: -0.018597391464526103.
Trial 31 finished with value: -5.2164375779885965 and parameters: {'kernel': 'linear', 'epsilon': 0.028793666442270882, 'degree': 5, 'C': 0.0007585112672292282}. Best is trial 39 with value: -0.018597391464526103.
Trial 43 finished with value: -4.541710526341433 and parameters: {'kernel': 'rbf', 'epsilon': 0.16093892700233559, 'degree': 3, 'C': 0.19309442221641754}. Best is trial 39 with value: -0.018597391464526103.
Trial 50 finished with value: -4.222723769753176 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.128789031741797, 'degree': 2, 'C': 0.15560418574259574}. Best is trial 39 with value: -0.018597391464526103.
Trial 47 finished with value: -5.3387633030802775 and parameters: {'kernel': 'rbf', 'epsilon': 0.41727328786470497, 'degree': 4, 'C': 0.014615666769571031}. Best is trial 39 with value: -0.018597391464526103.
Trial 45 finished with value: -3.3332195860353035 and parameters: {'kernel': 'linear', 'epsilon': 0.5195712624444324, 'degree': 2, 'C': 0.010928184044402047}. Best is trial 39 with value: -0.018597391464526103.
Trial 46 finished with value: -1.7249409408206842 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.3429197597715049, 'degree': 4, 'C': 0.8824440963115494}. Best is trial 39 with value: -0.018597391464526103.
