casename,num_floating,volume[ml]
office16_960_82_bout_C,5443,9.42883125e-05
office16_960_82_bout_D,6905,6.94225528e-05
office16_960_82_bout_E,4705,3.70853486e-05
office1_0_0_A,7235,0.000110955043
office1_0_0_B,6770,7.20113894e-05
office1_0_0_C,8237,6.49240028e-05
office1_0_0_D,6936,3.95837887e-05
office1_0_0_E,4885,4.16122639e-05
office1_0_123_aout_A,8169,6.42960804e-05
office1_0_123_aout_B,7151,5.85092748e-05
office1_0_123_aout_C,7987,8.81364394e-05
office1_0_123_aout_D,7286,5.68879659e-05
office1_0_123_aout_E,6636,7.1181923e-05
office1_0_123_bout_A,8508,7.91699204e-05
office1_0_123_bout_B,6167,6.90294692e-05
office1_0_123_bout_C,8185,9.11984171e-05
office1_0_123_bout_D,8065,5.00363421e-05
office1_0_123_bout_E,5775,1.76250087e-05
office1_0_164_aout_A,7565,5.87078903e-05
office1_0_164_aout_B,7243,7.76717934e-05
office1_0_164_aout_C,8548,0.000103869374
office1_0_164_aout_D,7441,5.98515544e-05
office1_0_164_aout_E,6816,5.61394481e-05
office1_0_164_bout_A,6221,6.0322247e-05
office1_0_164_bout_B,4373,4.22721823e-05
office1_0_164_bout_C,8380,0.000103757069
office1_0_164_bout_D,7731,8.2115017e-05
office1_0_164_bout_E,7998,6.21801883e-05
office1_0_205_aout_A,7731,6.25802277e-05
office1_0_205_aout_B,7354,8.05412783e-05
office1_0_205_aout_C,8328,9.06583737e-05
office1_0_205_aout_D,6823,2.93104586e-05
office1_0_205_aout_E,8144,8.43959933e-05
office1_0_205_bout_A,8371,0.000105645377
office1_0_205_bout_B,7142,8.08383993e-05
office1_0_205_bout_C,7891,6.54445321e-05
office1_0_205_bout_D,7878,4.51326596e-05
office1_0_205_bout_E,6779,7.05410348e-05
office1_0_246_aout_A,8124,5.51630146e-05
office1_0_246_aout_B,7362,8.20243367e-05
office1_0_246_aout_C,8290,0.000110123525
office1_0_246_aout_D,7523,5.32031627e-05
office1_0_246_aout_E,6980,5.03193551e-05
office1_0_246_bout_A,8539,7.86821402e-05
office1_0_246_bout_B,6341,7.60312541e-05
office1_0_246_bout_C,8561,0.000113435359
office1_0_246_bout_D,7859,5.5107208e-05
office1_0_246_bout_E,6892,6.7660163e-05
office1_0_41_aout_A,6859,7.66706071e-05
office1_0_41_aout_B,6458,5.97783728e-05
office1_0_41_aout_C,7707,6.5630782e-05
office1_0_41_aout_D,8336,7.29013482e-05
office1_0_41_aout_E,6304,4.35108232e-05
office1_0_41_bout_A,8110,7.4284646e-05
office1_0_41_bout_B,6432,6.19185303e-05
office1_0_41_bout_C,8222,7.660337e-05
office1_0_41_bout_D,8019,7.12980691e-05
office1_0_41_bout_E,8016,5.21553775e-05
office1_0_82_aout_A,7337,6.52958115e-05
office1_0_82_aout_B,7045,5.15962747e-05
office1_0_82_aout_C,7929,6.85924169e-05
office1_0_82_aout_D,6911,6.11152718e-05
office1_0_82_aout_E,3256,2.77499657e-05
office1_0_82_bout_A,8274,8.79296931e-05
office1_0_82_bout_B,5639,5.78901163e-05
office1_0_82_bout_C,7758,3.28682545e-05
office1_0_82_bout_D,8227,6.72864044e-05
office1_0_82_bout_E,4803,6.90570523e-05
office1_660_0_A,6613,6.29218994e-05
office1_660_0_B,3670,3.74490737e-05
office1_660_0_C,7867,0.000103240382
office1_660_0_D,7519,8.35368483e-05
office1_660_0_E,2287,7.08532752e-05
office1_660_123_aout_A,6463,8.34773455e-05
office1_660_123_aout_B,5528,5.52556485e-05
office1_660_123_aout_C,7681,0.000120347147
office1_660_123_aout_D,8068,8.98246217e-05
office1_660_123_aout_E,5001,6.36637633e-05
office1_660_123_bout_A,6711,0.000137054434
office1_660_123_bout_B,6158,9.84666549e-05
office1_660_123_bout_C,7634,0.000100013138
office1_660_123_bout_D,6389,5.88272196e-05
office1_660_123_bout_E,4940,1.46286156e-05
office1_660_164_aout_A,7425,0.000130140557
office1_660_164_aout_B,4705,7.50341787e-05
office1_660_164_aout_C,7302,7.65879158e-05
office1_660_164_aout_D,6939,7.21081597e-05
office1_660_164_aout_E,4947,5.04310956e-05
office1_660_164_bout_A,5630,0.000103221515
office1_660_164_bout_B,6033,7.17400399e-05
office1_660_164_bout_C,7726,9.46275686e-05
office1_660_164_bout_D,7676,0.000102227052
office1_660_164_bout_E,3938,2.95695663e-05
office1_660_205_aout_A,4780,0.000100380232
office1_660_205_aout_B,7398,4.94613705e-05
office1_660_205_aout_C,6808,9.67557571e-05
office1_660_205_aout_D,7473,8.60429791e-05
office1_660_205_aout_E,5091,3.68481451e-05
office1_660_205_bout_A,5228,8.19667548e-05
office1_660_205_bout_B,5237,4.72107204e-05
office1_660_205_bout_C,6568,7.85242737e-05
office1_660_205_bout_D,6771,6.82659083e-05
office1_660_205_bout_E,3933,4.14108399e-05
office1_660_246_aout_A,7133,9.51104084e-05
office1_660_246_aout_B,4277,4.46159793e-05
office1_660_246_aout_C,7783,0.000128257219
office1_660_246_aout_D,7736,0.00010301642
office1_660_246_aout_E,5245,7.54334105e-05
office1_660_246_bout_A,7371,7.0913411e-05
office1_660_246_bout_B,6667,7.32654516e-05
office1_660_246_bout_C,7071,0.000151196102
office1_660_246_bout_D,7265,0.000107537213
office1_660_246_bout_E,5093,3.11612239e-05
office1_660_41_aout_A,8304,0.000125419523
office1_660_41_aout_B,6264,7.90724225e-05
office1_660_41_aout_C,7658,9.75794392e-05
office1_660_41_aout_D,7165,5.86894712e-05
office1_660_41_aout_E,6273,7.00383389e-05
office1_660_41_bout_A,6200,6.16055768e-05
office1_660_41_bout_B,6104,7.17639268e-05
office1_660_41_bout_C,7729,5.47433956e-05
office1_660_41_bout_D,6761,7.81022245e-05
office1_660_41_bout_E,1821,2.73313108e-05
office1_660_82_aout_A,6718,8.85685367e-05
office1_660_82_aout_B,3870,4.41590237e-05
office1_660_82_aout_C,6976,0.000104690938
office1_660_82_aout_D,6738,6.15877725e-05
office1_660_82_aout_E,1159,4.97618748e-05
office1_660_82_bout_A,8248,7.24843048e-05
office1_660_82_bout_B,7099,4.72384963e-05
office1_660_82_bout_C,7733,9.98009564e-05
office1_660_82_bout_D,7604,0.000100524594
office1_660_82_bout_E,6571,4.11955843e-05
office1_960_0_A,7474,6.87639695e-05
office1_960_0_B,6123,5.66968301e-05
office1_960_0_C,7301,5.62279201e-05
office1_960_0_D,6631,8.01748174e-05
office1_960_0_E,6879,3.623054e-05
office1_960_123_aout_A,6105,0.000105607687
office1_960_123_aout_B,4076,0.000108889071
office1_960_123_aout_C,6000,6.46794942e-05
office1_960_123_aout_D,6770,9.55762443e-05
office1_960_123_aout_E,6208,4.14872993e-05
office1_960_123_bout_A,7254,0.000101414094
office1_960_123_bout_B,5943,0.000102643877
office1_960_123_bout_C,6990,7.92394203e-05
office1_960_123_bout_D,7192,0.000104934843
office1_960_123_bout_E,4896,3.39574799e-05
office1_960_164_aout_A,7723,7.86664386e-05
office1_960_164_aout_B,5099,0.000107447129
office1_960_164_aout_C,6428,6.30286231e-05
office1_960_164_aout_D,5721,9.28652007e-05
office1_960_164_aout_E,5166,2.2952865e-05
office1_960_164_bout_A,5791,0.000111429013
office1_960_164_bout_B,4955,7.81956696e-05
office1_960_164_bout_C,5850,3.80231504e-05
office1_960_164_bout_D,7291,8.04747324e-05
office1_960_164_bout_E,4913,3.7357062e-05
office1_960_205_aout_A,6528,6.77284843e-05
office1_960_205_aout_B,3596,6.17521873e-05
office1_960_205_aout_C,5260,4.05048595e-05
office1_960_205_aout_D,6003,9.78400785e-05
office1_960_205_aout_E,4974,4.46488848e-05
office1_960_205_bout_A,6028,8.62972665e-05
office1_960_205_bout_B,5142,0.000131025707
office1_960_205_bout_C,5775,4.01230609e-05
office1_960_205_bout_D,4387,5.27654593e-05
office1_960_205_bout_E,3700,1.688884e-05
office1_960_246_aout_A,6831,0.000123242353
office1_960_246_aout_B,6572,8.52084631e-05
office1_960_246_aout_C,5073,5.52767233e-05
office1_960_246_aout_D,5552,7.6511591e-05
office1_960_246_aout_E,3961,2.90598728e-05
office1_960_246_bout_A,6448,6.27783011e-05
office1_960_246_bout_B,5200,0.000107599248
office1_960_246_bout_C,6294,5.76145867e-05
office1_960_246_bout_D,6766,8.89046642e-05
office1_960_246_bout_E,4796,7.87945828e-06
office1_960_41_aout_A,4976,8.25953321e-05
office1_960_41_aout_B,6950,7.50742838e-05
office1_960_41_aout_C,6349,6.76102354e-05
office1_960_41_aout_D,6140,8.6878259e-05
office1_960_41_aout_E,1781,7.15868009e-06
office1_960_41_bout_A,7878,0.000116161114
office1_960_41_bout_B,3869,7.13766349e-05
office1_960_41_bout_C,6167,5.57592757e-05
office1_960_41_bout_D,6781,0.000110835979
office1_960_41_bout_E,4784,3.21075277e-05
office1_960_82_aout_A,6902,7.97855464e-05
office1_960_82_aout_B,6003,6.68450957e-05
office1_960_82_aout_C,6613,4.85259079e-05
office1_960_82_aout_D,6202,9.40454775e-05
office1_960_82_aout_E,5888,5.26303374e-05
office1_960_82_bout_A,7702,0.000129533219
office1_960_82_bout_B,2723,8.0156824e-05
office1_960_82_bout_C,4997,6.07322872e-05
office1_960_82_bout_D,7280,0.000129083768
office1_960_82_bout_E,4289,2.2395996e-05
office4_0_0_A,4739,4.04356542e-05
office4_0_0_B,7469,7.53706991e-05
office4_0_0_C,5743,4.04896273e-05
office4_0_0_D,7252,5.0618215e-05
office4_0_0_E,7241,7.53562999e-05
office4_0_164_aout_A,4666,3.41758132e-05
office4_0_164_aout_B,5219,6.49327485e-05
office4_0_164_aout_C,5516,5.30652105e-05
office4_0_164_aout_D,4455,4.68452781e-05
office4_0_164_aout_E,6453,6.44895772e-05
office4_0_164_bout_A,5565,3.2276821e-05
office4_0_164_bout_B,7874,7.46730657e-05
office4_0_164_bout_C,5096,3.84846207e-05
office4_0_164_bout_D,5788,8.82971508e-05
office4_0_164_bout_E,6043,7.75081789e-05
office4_0_246_aout_A,6548,8.34050879e-05
office4_0_246_aout_B,6736,6.95231647e-05
