,x_min,x_max,y_min,y_max
desk-0,1.5,2.9,0.05,0.75
desk-1,0.05,1.45,0.05,0.75
desk-2,0.05,1.45,3.25,3.95
desk-3,1.5,2.9,3.25,3.95
desk-4,2.95,4.35,0.05,0.75
