,x_min,x_max,y_min,y_max
desk-0,8.05,9.45,0.05,0.75
desk-1,0.05,1.45,0.05,0.75
desk-2,8.05,9.45,3.8,4.5
desk-3,0.05,1.45,3.8,4.5
desk-4,4.05,5.45,3.8,4.5
