,x_min,x_max,y_min,y_max
desk-0,5.55,6.95,0.05,0.75
desk-1,3.55,4.95,0.05,0.75
desk-2,1.55,2.95,0.05,0.75
desk-3,2.55,3.95,2.85,3.55
desk-4,4.55,5.95,2.85,3.55
