,x_min,x_max,y_min,y_max
desk-0,5.25,5.95,0.05,1.45
desk-1,5.25,5.95,1.5,2.9
desk-2,0.05,0.75,1.5,2.9
desk-3,0.05,0.75,0.05,1.45
desk-4,5.25,5.95,2.95,4.35
