,x_min,x_max,y_min,y_max
desk-0,2.025,3.425,1.5,2.2
desk-1,2.0,2.7,2.25,3.65
desk-2,2.0,2.7,3.7,5.1
desk-3,2.75,3.45,3.7,5.1
desk-4,2.75,3.45,2.25,3.65
