,x_min,x_max,y_min,y_max
desk-0,1.5,2.2,1.4,2.8
desk-1,3.7,5.1,2.125,2.825
desk-2,2.25,3.65,2.125,2.825
desk-3,2.25,3.65,1.375,2.075
desk-4,3.7,5.1,1.375,2.075
