,x_min,x_max,y_min,y_max
desk-0,3.7,5.1,3.81,4.51
desk-1,2.25,3.65,3.81,4.51
desk-2,0.8,2.2,1.5,2.2
desk-3,2.25,3.65,1.5,2.2
desk-4,3.7,5.1,1.5,2.2
