,x_min,x_max,y_min,y_max
desk-0,3.55,4.95,1.5,2.2
desk-1,5.0,5.7,3.7,5.1
desk-2,5.0,5.7,2.25,3.65
desk-3,2.8,3.5,2.25,3.65
desk-4,2.8,3.5,3.7,5.1
