,x_min,x_max,y_min,y_max
desk-0,4.55,5.95,4.75,5.45
desk-1,3.1,4.5,4.75,5.45
desk-2,4.55,5.95,0.05,0.75
desk-3,3.1,4.5,0.05,0.75
desk-4,1.65,3.05,0.05,0.75
