,x_min,x_max,y_min,y_max
desk-0,3.8,4.5,1.75,3.15
desk-1,3.8,4.5,3.2,4.6
desk-2,3.8,4.5,0.3,1.7
desk-3,2.05,2.75,0.3,1.7
desk-4,2.05,2.75,1.75,3.15
