,x_min,x_max,y_min,y_max
desk-0,3.825,4.525,1.5,2.9
desk-1,2.375,3.775,1.475,2.175
desk-2,0.925,2.325,1.475,2.175
desk-3,0.925,2.325,2.225,2.925
desk-4,2.375,3.775,2.225,2.925
