,x_min,x_max,y_min,y_max
desk-0,5.55,6.95,0.9,1.6
desk-1,3.55,4.95,0.9,1.6
desk-2,1.55,2.95,0.9,1.6
desk-3,5.55,6.95,2.65,3.35
desk-4,1.55,2.95,2.65,3.35
