,x_min,x_max,y_min,y_max
desk-0,7.55,8.95,1.5,2.2
desk-1,5.55,6.95,1.5,2.2
desk-2,7.55,8.95,3.25,3.95
desk-3,5.55,6.95,3.25,3.95
desk-4,3.55,4.95,3.25,3.95
