,x_min,x_max,y_min,y_max
desk-0,1.5,2.2,0.05,1.45
desk-1,1.5,2.2,1.5,2.9
desk-2,3.25,3.95,0.05,1.45
desk-3,3.25,3.95,1.5,2.9
desk-4,5.0,5.7,0.05,1.45
