,x_min,x_max,y_min,y_max
desk-0,8.05,9.45,2.3,3.0
desk-1,6.6,8.0,2.3,3.0
desk-2,6.6,8.0,5.25,5.95
desk-3,8.05,9.45,5.25,5.95
desk-4,5.15,6.55,5.25,5.95
