,x_min,x_max,y_min,y_max
desk-0,2.25,3.65,3.825,4.525
desk-1,1.5,2.2,3.1,4.5
desk-2,2.25,3.65,3.075,3.775
desk-3,3.7,5.1,3.075,3.775
desk-4,3.7,5.1,3.825,4.525
