,x_min,x_max,y_min,y_max
desk-0,4.6,5.3,2.1,3.5
desk-1,4.6,5.3,0.65,2.05
desk-2,6.8,7.5,3.55,4.95
desk-3,6.8,7.5,2.1,3.5
desk-4,6.8,7.5,0.65,2.05
