,x_min,x_max,y_min,y_max
desk-0,4.5,5.2,3.55,4.95
desk-1,4.5,5.2,2.1,3.5
desk-2,8.25,8.95,0.05,1.45
desk-3,8.25,8.95,1.5,2.9
desk-4,8.25,8.95,2.95,4.35
