,x_min,x_max,y_min,y_max
desk-0,6.075,7.475,1.35,2.05
desk-1,6.05,6.75,2.1,3.5
desk-2,6.05,6.75,3.55,4.95
desk-3,6.8,7.5,3.55,4.95
desk-4,6.8,7.5,2.1,3.5
