,x_min,x_max,y_min,y_max
desk-0,4.3,5.7,1.5,2.2
desk-1,1.4,2.8,1.5,2.2
desk-2,2.85,4.25,1.5,2.2
desk-3,1.4,2.8,3.4,4.1
desk-4,2.85,4.25,3.4,4.1
