,x_min,x_max,y_min,y_max
desk-0,0.05,0.75,3.1,4.5
desk-1,0.05,0.75,4.55,5.95
desk-2,0.05,0.75,1.65,3.05
desk-3,2.7,3.4,1.65,3.05
desk-4,2.7,3.4,4.55,5.95
