,x_min,x_max,y_min,y_max
desk-0,1.5,2.2,0.9,2.3
desk-1,1.5,2.2,3.8,5.2
desk-2,1.5,2.2,2.35,3.75
desk-3,3.4,4.1,3.1,4.5
desk-4,3.4,4.1,1.65,3.05
