,x_min,x_max,y_min,y_max
desk-0,6.3,7.0,0.05,1.45
desk-1,6.3,7.0,1.5,2.9
desk-2,2.0,2.7,0.05,1.45
desk-3,2.0,2.7,2.05,3.45
desk-4,2.0,2.7,3.5,4.9
