,x_min,x_max,y_min,y_max
desk-0,4.95,6.35,2.55,3.25
desk-1,3.5,4.9,2.55,3.25
desk-2,2.05,3.45,2.55,3.25
desk-3,2.85,4.25,3.3,4.0
desk-4,4.3,5.7,3.3,4.0
