,x_min,x_max,y_min,y_max
desk-0,0.05,0.75,0.05,1.45
desk-1,0.05,0.75,1.85,3.25
desk-2,0.05,0.75,3.65,5.05
desk-3,7.75,8.45,2.7,4.1
desk-4,7.75,8.45,0.9,2.3
