,x_min,x_max,y_min,y_max
desk-0,3.1,4.5,1.5,2.2
desk-1,3.075,3.775,2.25,3.65
desk-2,3.075,3.775,3.7,5.1
desk-3,3.825,4.525,3.7,5.1
desk-4,3.825,4.525,2.25,3.65
