,x_min,x_max,y_min,y_max
desk-0,4.55,5.95,4.25,4.95
desk-1,3.1,4.5,4.25,4.95
desk-2,2.4,3.8,0.05,0.75
desk-3,3.85,5.25,0.05,0.75
desk-4,5.3,6.7,0.05,0.75
