,x_min,x_max,y_min,y_max
desk-0,7.3,8.0,4.55,5.95
desk-1,7.3,8.0,0.05,1.45
desk-2,7.3,8.0,2.3,3.7
desk-3,3.8,4.5,4.55,5.95
desk-4,0.3,1.0,4.55,5.95
