,x_min,x_max,y_min,y_max
desk-0,0.05,1.45,0.05,0.75
desk-1,2.95,4.35,0.05,0.75
desk-2,1.5,2.9,0.05,0.75
desk-3,0.05,1.45,5.25,5.95
desk-4,1.5,2.9,5.25,5.95
