,x_min,x_max,y_min,y_max
desk-0,1.485,2.185,2.3,3.7
desk-1,2.235,3.635,3.025,3.725
desk-2,3.685,5.085,3.025,3.725
desk-3,3.685,5.085,2.275,2.975
desk-4,2.235,3.635,2.275,2.975
