,x_min,x_max,y_min,y_max
desk-0,7.325,8.025,2.35,3.75
desk-1,6.6,8.0,3.8,4.5
desk-2,6.575,7.275,2.35,3.75
desk-3,6.575,7.275,0.9,2.3
desk-4,7.325,8.025,0.9,2.3
