,x_min,x_max,y_min,y_max
desk-0,6.8,7.5,1.8,3.2
desk-1,5.4,6.8,2.5,3.2
desk-2,4.0,5.4,2.5,3.2
desk-3,5.4,6.8,1.8,2.5
desk-4,4.0,5.4,1.8,2.5
