A new study created in RDB with name: Poly_ElasticNet_93751
Trial 46 finished with value: 0.5320289731572131 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.0012087624068286935, 'l1_ratio': 0.6018071345740136, 'max_iter': 83248}. Best is trial 1 with value: 0.7997489209884635.
Trial 51 finished with value: 0.6826727737024049 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.7028503698019387, 'l1_ratio': 0.1270347379423128, 'max_iter': 34909}. Best is trial 1 with value: 0.7997489209884635.
Trial 52 finished with value: 0.6924504724936087 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.15827082004048545, 'l1_ratio': 0.46626076391922155, 'max_iter': 79529}. Best is trial 1 with value: 0.7997489209884635.
Trial 36 finished with value: 0.7255637546332414 and parameters: {'n_components': 3, 'degree': 4, 'alpha': 0.04317219155748832, 'l1_ratio': 0.27410606110153146, 'max_iter': 52072}. Best is trial 1 with value: 0.7997489209884635.
Trial 55 finished with value: 0.2907545658840608 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 3.3875377467490764, 'l1_ratio': 0.8295921079851623, 'max_iter': 23532}. Best is trial 1 with value: 0.7997489209884635.
Trial 56 finished with value: 0.7217783766914122 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 1.1630831935801886, 'l1_ratio': 0.39749331288895073, 'max_iter': 99227}. Best is trial 1 with value: 0.7997489209884635.
Trial 25 finished with value: 0.7934229726613806 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.026290753017574765, 'l1_ratio': 0.5195757954527744, 'max_iter': 16193}. Best is trial 1 with value: 0.7997489209884635.
Trial 58 finished with value: 0.710105158340587 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 0.016293468868318502, 'l1_ratio': 0.47829306509709635, 'max_iter': 90077}. Best is trial 1 with value: 0.7997489209884635.
Trial 59 finished with value: 0.7004739383857118 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 1.3746183729847967, 'l1_ratio': 0.06477516416814477, 'max_iter': 26856}. Best is trial 1 with value: 0.7997489209884635.
Trial 42 finished with value: 0.7938272656226556 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.027361687264926743, 'l1_ratio': 0.8381987341642938, 'max_iter': 40413}. Best is trial 1 with value: 0.7997489209884635.
Trial 15 finished with value: 0.7471513999731386 and parameters: {'n_components': 9, 'degree': 4, 'alpha': 0.3405040947340727, 'l1_ratio': 0.745712120066578, 'max_iter': 65778}. Best is trial 1 with value: 0.7997489209884635.
Trial 62 finished with value: 0.2998502903347668 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 2.377227958635789, 'l1_ratio': 0.2384903604749018, 'max_iter': 39150}. Best is trial 1 with value: 0.7997489209884635.
Trial 16 finished with value: 0.7509505983181609 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.00040299849528097043, 'l1_ratio': 0.6041536026385134, 'max_iter': 66454}. Best is trial 1 with value: 0.7997489209884635.
Trial 64 finished with value: 0.7103551816382306 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 0.002214456289489145, 'l1_ratio': 0.7791020862043787, 'max_iter': 10473}. Best is trial 1 with value: 0.7997489209884635.
Trial 50 finished with value: 0.7614201977131393 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.0002542962622138636, 'l1_ratio': 0.018589832696008335, 'max_iter': 30515}. Best is trial 1 with value: 0.7997489209884635.
Trial 66 finished with value: 0.47797632067235574 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 0.9088448560546942, 'l1_ratio': 0.26605481983568424, 'max_iter': 10484}. Best is trial 1 with value: 0.7997489209884635.
Trial 67 finished with value: 0.3606461331445455 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.4476478948987275, 'l1_ratio': 0.5624193004238601, 'max_iter': 20173}. Best is trial 1 with value: 0.7997489209884635.
Trial 68 finished with value: 0.6535295049834242 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 9.270392083734546, 'l1_ratio': 0.8338810735653843, 'max_iter': 20791}. Best is trial 1 with value: 0.7997489209884635.
Trial 69 finished with value: 0.7248814640029809 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.0024962356292095116, 'l1_ratio': 0.12080184961381313, 'max_iter': 28189}. Best is trial 1 with value: 0.7997489209884635.
Trial 35 finished with value: 0.7907591739031419 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 0.005535415821071974, 'l1_ratio': 0.8053779726315536, 'max_iter': 33800}. Best is trial 1 with value: 0.7997489209884635.
Trial 71 finished with value: 0.20704155421562134 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0005437411764035012, 'l1_ratio': 0.4864352321290495, 'max_iter': 49873}. Best is trial 1 with value: 0.7997489209884635.
