0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9311.6,9359.6,9119.4,9159.0,9197.4,9264.8,9527.4,8993.6,9257.6,9114.4,9216.0,9173.4,9164.4,9166.8,8181.2,7781.6,8199.0,7547.0,8649.4,9130.6,8399.2,7900.4,7771.0,8164.8,7558.6,8210.8,8919.4,7640.6
8408.8,8318.2,8198.8,8485.8,8501.2,8496.0,8483.4,8103.6,7916.0,8126.2,7648.6,7872.2,7943.6,7899.6,6865.8,6307.6,6221.0,6162.6,6356.2,6927.8,6533.8,6749.6,6490.8,7163.2,6191.8,7125.8,7544.2,7032.0
7856.0,7440.6,7370.0,7925.6,7915.2,7905.0,7777.6,7055.0,7068.2,7375.0,6431.2,6939.4,7082.0,6847.6,5695.0,5185.0,5471.8,5118.4,5105.6,6148.6,5403.8,6005.0,5499.8,6212.6,4929.8,6319.2,6695.2,6311.8
7000.0,6302.6,6565.6,7138.8,7263.0,6657.2,6618.2,6327.0,6022.0,6466.0,5701.4,6595.6,6391.0,6266.8,5571.6,4955.2,5008.4,4392.6,4488.2,5413.6,4601.8,5468.4,4491.4,5451.4,4416.2,5663.0,5854.4,5730.6
6791.8,5819.4,6181.6,6073.0,6606.4,6217.8,5990.2,5875.6,5502.0,5834.6,5094.2,6003.4,6080.2,5864.4,5325.8,4640.8,4595.2,4030.6,4019.0,4784.2,4163.8,4876.0,4287.8,5064.6,3826.2,5428.2,5281.4,5328.6
6659.6,5509.8,6200.8,5638.2,6260.2,5912.0,5770.6,5349.8,5212.0,5417.0,4501.2,5435.6,5725.8,5610.6,5229.0,4452.0,4443.2,3829.8,3836.2,3977.2,3894.2,4574.0,4089.0,4962.2,3537.8,5260.8,4839.6,5100.4
6472.4,5167.0,6058.2,5412.6,5810.2,5773.0,5735.0,4805.6,5050.0,5066.0,4092.6,5191.0,5364.2,5374.8,5061.0,4182.6,4379.0,3572.0,3704.4,3600.0,3786.4,4423.0,3985.2,4650.8,3222.4,5143.0,4674.0,4839.0
6275.6,4867.2,5813.2,5277.6,5466.4,5589.8,5759.2,4396.4,4667.0,4800.0,3848.6,5017.2,4990.6,5122.6,5034.6,4023.0,4309.0,3287.8,3654.8,3385.2,3601.6,4195.0,3730.0,4344.0,3092.6,4951.6,4580.0,4667.6
6126.2,4633.8,5671.6,5054.8,5320.2,5424.2,5730.6,4148.6,4363.8,4711.0,3685.4,4870.2,4772.2,4739.8,4955.2,3972.8,4268.8,3157.2,3603.2,3235.8,3449.6,3990.6,3578.6,4175.0,2896.2,4679.8,4425.0,4636.8
5994.8,4499.0,5562.4,4814.4,5243.4,5199.8,5583.0,3982.2,4137.2,4718.8,3516.4,4694.4,4614.0,4528.8,4814.2,3940.6,4187.2,2999.6,3608.6,3158.8,3344.2,3865.8,3438.0,4073.4,2808.8,4530.2,4398.2,4514.4
5715.6,4309.0,5480.0,4736.6,5189.6,5046.2,5438.2,3776.8,3860.4,4725.2,3393.8,4550.2,4395.8,4252.8,4777.0,3894.6,4116.2,2794.4,3656.4,3117.0,3235.2,3733.2,3332.6,4039.8,2588.0,4453.0,4338.8,4433.2
5514.2,4210.2,5380.0,4578.8,5130.8,4910.2,5217.2,3618.4,3678.8,4659.6,3288.2,4521.6,4239.0,4050.0,4767.2,3804.8,4089.2,2657.2,3701.0,3015.0,3220.2,3529.8,3255.4,4011.4,2388.6,4373.6,4219.4,4340.0
5371.0,4024.6,5322.2,4378.0,5070.8,4791.6,5114.2,3435.8,3539.0,4604.8,3195.4,4401.0,4098.0,3812.0,4713.6,3702.6,4066.0,2547.2,3755.0,2990.0,3169.6,3353.8,3159.6,3962.0,2241.2,4293.0,4119.2,4212.2
5255.8,3863.0,5251.2,4196.2,5043.0,4729.6,5082.2,3323.8,3380.4,4543.4,3120.2,4303.4,3976.6,3547.0,4618.4,3579.4,4005.0,2476.2,3781.4,2953.4,3112.4,3248.2,3042.2,3922.8,2101.6,4247.4,4078.6,4122.8
5136.4,3730.0,5217.0,4093.4,4997.2,4574.2,4995.8,3210.8,3192.6,4454.4,2961.4,4225.0,3834.2,3341.0,4545.0,3481.6,3937.4,2421.2,3757.2,2907.4,3079.0,3173.0,2910.2,3861.0,1984.2,4233.2,3984.8,4086.8
5049.6,3611.6,5155.8,4026.2,4954.0,4454.2,4954.8,3152.6,3028.4,4369.8,2794.6,4150.8,3729.6,3143.8,4470.6,3394.4,3867.6,2394.6,3749.0,2835.6,3047.0,3054.0,2770.6,3736.8,1875.0,4209.8,3879.6,3978.8
5003.0,3511.6,5050.6,3951.4,4918.8,4392.4,4901.8,3095.0,2902.8,4290.0,2690.0,4083.2,3595.4,3040.0,4403.2,3288.6,3785.0,2334.6,3729.6,2756.2,3055.0,2927.0,2626.2,3635.4,1794.6,4208.0,3737.6,3919.4
4970.0,3357.2,4951.2,3873.8,4934.0,4308.8,4865.4,3091.2,2732.6,4207.0,2574.2,3913.4,3440.0,2977.4,4307.0,3208.2,3732.6,2237.6,3727.2,2712.2,3034.6,2811.6,2511.6,3549.0,1737.4,4175.8,3669.2,3911.2
4938.0,3289.4,4878.4,3841.2,4937.0,4202.4,4805.0,3061.4,2543.2,4130.8,2448.2,3809.0,3327.2,2936.0,4194.2,3153.4,3691.0,2180.4,3702.0,2663.0,3019.0,2737.0,2428.4,3496.2,1748.4,4117.2,3632.2,3922.6
4893.6,3217.6,4823.8,3783.2,4914.4,4132.0,4756.2,3044.4,2449.6,4073.2,2389.2,3687.6,3235.4,2888.6,4088.8,3110.8,3650.8,2145.4,3738.4,2626.6,2999.2,2651.0,2363.4,3434.4,1765.2,4043.6,3601.0,3892.8
4847.8,3169.0,4771.0,3729.6,4889.6,4048.4,4734.2,3051.2,2278.4,4042.8,2321.8,3640.4,3144.0,2855.2,3998.2,3035.0,3642.0,2097.8,3756.8,2605.6,2985.4,2580.0,2279.8,3403.6,1777.0,3947.8,3516.0,3859.2
4800.6,3134.8,4732.2,3706.2,4843.8,3948.8,4701.4,3030.8,2169.0,3969.2,2257.8,3562.4,3046.6,2822.0,3909.4,2964.2,3624.6,2051.2,3708.2,2579.0,2978.0,2530.4,2194.4,3369.0,1809.6,3889.8,3449.2,3813.2
4756.6,3102.8,4695.4,3687.2,4811.6,3877.4,4658.8,2999.2,2014.6,3914.2,2208.6,3475.6,3002.2,2780.4,3820.0,2868.0,3578.6,1981.4,3650.4,2583.2,2952.0,2505.0,2107.8,3308.0,1841.0,3856.0,3431.8,3754.4
