0_0,0_123_aout,0_123_bout,0_164_aout,0_164_bout,0_205_aout,0_205_bout,0_246_aout,0_246_bout,0_41_aout,0_41_bout,0_82_aout,0_82_bout,660_0,660_123_aout,660_123_bout,660_164_aout,660_164_bout,660_205_aout,660_205_bout,660_246_aout,660_246_bout,660_41_aout,660_41_bout,660_82_aout,660_82_bout,960_0,960_123_aout,960_123_bout,960_164_aout,960_164_bout,960_205_aout,960_205_bout,960_246_aout,960_246_bout,960_41_aout,960_41_bout,960_82_aout,960_82_bout
6568.0,5784.4,6639.2,6357.4,5061.8,5969.2,6056.8,6116.2,4752.8,6072.0,7022.4,5615.0,5883.2,4721.0,3798.2,4504.2,3539.0,3844.0,5005.2,3495.8,3736.8,4449.8,4727.6,4165.2,3376.4,5145.8,2609.4,2837.8,3484.2,3285.8,2389.0,2596.8,3051.4,3126.0,2856.4,2007.0,5571.2,4417.8,3524.8
6556.2,5782.4,6579.6,6393.2,5094.4,5873.6,6059.2,6078.8,4703.4,5936.2,7039.4,5682.4,5882.6,4699.8,3660.8,4460.6,3520.8,3512.8,5037.6,3441.4,3662.0,4420.0,3917.4,4028.4,3299.2,5109.4,2511.6,2796.0,3474.8,2941.8,2429.2,2514.0,3018.2,3044.4,2824.0,1989.2,5522.0,4531.8,3480.2
6572.2,5771.6,6334.0,6357.2,5154.8,5747.6,6043.6,6092.0,4684.2,5787.6,6922.0,5639.8,5872.4,4655.4,3436.0,4365.6,3502.4,3259.6,5055.0,3404.4,3629.0,4340.8,3877.2,3979.0,3083.6,5044.0,2429.6,3280.2,3462.6,2617.0,2378.2,2407.0,2968.2,2964.4,2823.6,1981.6,5467.0,4475.4,3390.0
6553.0,5796.6,6027.4,6306.6,5174.2,5721.8,5972.6,6058.8,4672.6,5822.0,6960.2,5566.8,5867.0,4625.8,3412.0,4262.8,3046.0,3271.6,5053.4,3391.4,3592.4,3700.0,3792.6,4047.6,2493.4,5023.4,2328.6,3386.6,3465.4,2182.6,2042.8,2352.8,2870.8,2841.0,2811.2,1989.0,5417.6,4421.4,3265.6
6541.6,5703.4,5959.6,6271.0,5181.0,5708.2,5953.4,6015.2,4676.8,5885.4,6950.8,5553.2,5863.0,4323.2,3358.8,4224.0,3135.4,3286.2,5033.8,3368.8,3575.6,3681.0,3770.2,3766.2,2455.8,5029.8,2284.4,3374.2,3458.8,1676.8,1945.6,2277.4,2859.2,2799.8,2791.8,1986.6,5432.4,4137.6,3208.6
6537.4,5615.4,6020.8,6256.8,5205.2,5684.2,5904.0,6005.2,4660.4,5871.0,6895.6,5496.8,5842.4,3923.2,3208.0,4186.6,3134.4,3190.6,5027.2,3371.4,3546.4,3650.6,3762.8,3431.2,2380.4,4992.4,2259.0,3380.4,3411.2,1501.0,1845.6,2208.2,2861.4,2695.6,2785.8,2023.6,5435.2,3495.0,3163.0
6546.6,5641.2,6203.4,6244.6,5215.4,5617.6,5851.6,5976.0,4641.2,5744.8,6782.6,5508.0,5836.8,3755.6,3079.0,4116.4,2969.2,3035.2,5018.2,3368.4,3546.6,3647.0,3671.4,3448.8,2275.4,4975.6,2251.6,3452.6,3359.8,1292.6,1633.2,2127.8,2859.8,2646.8,2800.6,2074.6,5364.4,3726.6,3252.0
6508.8,5473.0,6403.8,6231.0,5186.0,5630.6,5722.6,5962.6,4630.8,5677.0,6545.4,5524.4,5893.4,3741.2,2845.4,4097.0,2964.0,2998.4,5008.6,3375.2,3548.2,3825.2,3390.8,3501.8,2225.8,4947.4,2235.0,2510.2,3354.4,1272.0,1556.6,2053.8,2862.6,2608.0,2819.4,2091.0,5260.4,3548.4,3349.2
6505.6,5363.0,6321.4,6235.4,5158.0,5607.6,5532.0,5950.6,4591.2,5688.2,6396.8,5536.6,5792.4,3724.2,2760.2,4037.0,2900.8,2973.4,4998.4,3347.4,3518.0,3857.2,3478.4,3523.8,2204.0,4942.6,2229.8,2421.2,3352.6,1282.8,1504.2,2034.8,2836.2,2575.2,2816.6,2119.2,5039.2,3734.8,3354.6
6502.2,5270.2,6159.4,6190.4,5154.2,5579.6,5455.2,5931.0,4482.0,5690.4,6196.4,5547.8,5755.8,3652.2,2712.8,3998.2,2842.8,2962.4,5001.0,3266.2,3413.4,3833.4,3552.8,3525.2,2166.6,4944.0,2079.8,2397.0,3336.6,1298.2,1534.2,2060.4,2762.8,2500.8,2815.4,2117.2,4809.2,3695.4,3309.0
