casename,num_drop,volume[ml],RoI
office28_960_164_aout_C,3402,3.6187048e-05,59.68421052631579
office28_960_164_bout_C,3861,7.01183817e-05,67.73684210526316
office28_960_246_aout_C,3257,5.85624366e-05,57.14035087719298
office28_960_246_bout_C,2945,9.42060724e-05,51.666666666666664
office28_960_82_aout_C,2779,6.76115524e-05,48.75438596491228
office28_960_82_bout_C,4574,0.000103475402,80.24561403508773
office28_0_0_D,3919,2.09836853e-05,68.75438596491227
office28_0_164_aout_D,3439,2.37836757e-05,60.333333333333336
office28_0_164_bout_D,4695,3.12861885e-05,82.36842105263158
office28_0_246_aout_D,4074,2.26942939e-05,71.47368421052632
office28_0_246_bout_D,6416,4.38945317e-05,112.56140350877193
office28_0_82_aout_D,3331,3.30994226e-05,58.43859649122807
office28_0_82_bout_D,4265,3.59591104e-05,74.82456140350877
office28_360_0_D,3039,2.97931329e-05,53.31578947368421
office28_360_164_aout_D,2894,3.36322628e-05,50.771929824561404
office28_360_164_bout_D,2692,3.32769523e-05,47.228070175438596
office28_360_246_aout_D,2347,4.88895203e-05,41.175438596491226
office28_360_246_bout_D,2032,1.48420177e-05,35.64912280701754
office28_360_82_aout_D,2451,4.26935476e-05,43.0
office28_360_82_bout_D,2598,3.51308627e-05,45.578947368421055
office28_660_0_D,2380,1.71992833e-05,41.75438596491228
office28_660_164_aout_D,2647,2.35724492e-05,46.43859649122807
office28_660_164_bout_D,4118,4.89410377e-05,72.24561403508773
office28_660_246_aout_D,3355,2.78325606e-05,58.85964912280702
office28_660_246_bout_D,4489,5.11080798e-05,78.75438596491227
office28_660_82_aout_D,2977,1.92593852e-05,52.228070175438596
office28_660_82_bout_D,2974,3.49710972e-05,52.175438596491226
office28_960_0_D,3427,6.77903517e-05,60.12280701754386
office28_960_164_aout_D,3762,2.80801105e-05,66.0
office28_960_164_bout_D,4078,5.38275635e-05,71.54385964912281
office28_960_246_aout_D,3279,3.95871539e-05,57.526315789473685
office28_960_246_bout_D,4695,6.83085382e-05,82.36842105263158
office28_960_82_aout_D,3653,3.39253056e-05,64.08771929824562
office28_960_82_bout_D,4940,6.06300055e-05,86.66666666666667
office28_0_0_E,4974,6.07458533e-05,87.26315789473684
office28_0_164_aout_E,5098,3.87286091e-05,89.43859649122807
office28_0_164_bout_E,4068,1.96614383e-05,71.36842105263158
office28_0_246_aout_E,5818,4.28785825e-05,102.0701754385965
office28_0_246_bout_E,5346,0.000142138233,93.78947368421052
office28_0_82_aout_E,4562,3.84865489e-05,80.03508771929825
office28_0_82_bout_E,4634,3.39738872e-05,81.29824561403508
office28_360_0_E,3310,2.23344359e-05,58.07017543859649
office28_360_164_aout_E,3984,2.90229636e-05,69.89473684210526
office28_360_164_bout_E,5318,4.10285174e-05,93.29824561403508
office28_360_246_aout_E,4147,2.60784145e-05,72.75438596491227
office28_360_246_bout_E,4590,5.0226321e-05,80.52631578947368
office28_360_82_aout_E,2889,1.70919284e-05,50.68421052631579
office28_360_82_bout_E,4845,2.50429603e-05,85.0
office28_660_0_E,2266,6.62945877e-06,39.75438596491228
office28_660_164_aout_E,4654,3.62573919e-05,81.64912280701755
office28_660_164_bout_E,3936,2.28994104e-05,69.05263157894737
office28_660_246_aout_E,4267,2.3342287e-05,74.85964912280701
office28_660_246_bout_E,7055,0.000138562871,123.7719298245614
office28_660_82_aout_E,2567,2.27559249e-05,45.03508771929825
office28_660_82_bout_E,3450,4.03724007e-05,60.526315789473685
office28_960_0_E,5129,2.76280516e-05,89.98245614035088
office28_960_164_aout_E,2556,5.39745088e-06,44.8421052631579
office28_960_164_bout_E,5086,4.14398237e-05,89.2280701754386
office28_960_246_aout_E,3001,1.99482383e-05,52.64912280701754
office28_960_246_bout_E,4922,5.47654708e-05,86.35087719298245
office28_960_82_aout_E,3394,1.23768186e-05,59.54385964912281
office28_960_82_bout_E,5828,3.35417208e-05,102.24561403508773
office16_0_0_A,2030,6.35757033e-06,45.111111111111114
office16_0_164_aout_A,2533,9.47908193e-05,56.28888888888889
office16_0_164_bout_A,3714,3.87127839e-05,82.53333333333333
office16_0_246_aout_A,4392,9.36457582e-05,97.6
office16_0_246_bout_A,3284,2.74703198e-05,72.97777777777777
office16_0_82_aout_A,4170,2.44084895e-05,92.66666666666667
office16_0_82_bout_A,2839,2.06726709e-05,63.08888888888889
office16_360_0_A,2190,8.30609279e-05,48.666666666666664
office16_360_164_aout_A,3661,0.000104973056,81.35555555555555
office16_360_164_bout_A,5232,0.000119345626,116.26666666666667
office16_360_246_aout_A,4143,7.17746952e-05,92.06666666666666
office16_360_246_bout_A,3694,8.6047221e-05,82.08888888888889
office16_360_82_aout_A,4143,9.08511865e-05,92.06666666666666
office16_360_82_bout_A,3625,4.11609435e-05,80.55555555555556
office16_660_0_A,3155,5.19464811e-05,70.11111111111111
office16_660_164_aout_A,1704,1.46031452e-05,37.86666666666667
office16_660_164_bout_A,2851,4.52829881e-05,63.355555555555554
office16_660_246_aout_A,5404,0.000125142004,120.08888888888889
office16_660_246_bout_A,3425,8.07292963e-05,76.11111111111111
office16_660_82_aout_A,2745,5.84491281e-05,61.0
office16_660_82_bout_A,5391,4.84983611e-05,119.8
office16_960_0_A,5390,4.33827881e-05,119.77777777777777
office16_960_164_aout_A,3700,5.19161986e-05,82.22222222222223
office16_960_164_bout_A,5854,9.66639855e-05,130.0888888888889
office16_960_246_aout_A,5286,6.24065578e-05,117.46666666666667
office16_960_246_bout_A,4537,6.44951142e-05,100.82222222222222
office16_960_82_aout_A,3749,5.12347178e-05,83.31111111111112
office16_960_82_bout_A,3401,8.75290498e-05,75.57777777777778
office16_0_0_B,4332,5.77412502e-05,96.26666666666667
office16_0_164_aout_B,4164,3.18491111e-05,92.53333333333333
office16_0_164_bout_B,3704,3.14913814e-05,82.31111111111112
office16_0_246_aout_B,4192,1.83618195e-05,93.15555555555555
office16_0_246_bout_B,5464,3.07610972e-05,121.42222222222222
office16_0_82_aout_B,3692,3.28032147e-05,82.04444444444445
office16_0_82_bout_B,5819,3.80471647e-05,129.3111111111111
office16_360_0_B,2881,2.67921369e-05,64.02222222222223
office16_360_164_aout_B,5310,4.00085046e-05,118.0
office16_360_164_bout_B,3153,1.79866074e-05,70.06666666666666
office16_360_246_aout_B,7215,6.93887341e-05,160.33333333333334
office16_360_246_bout_B,3780,3.12846787e-05,84.0
office16_360_82_aout_B,4193,2.46111467e-05,93.17777777777778
office16_360_82_bout_B,5012,2.78989155e-05,111.37777777777778
office16_660_0_B,3514,2.535165e-05,78.08888888888889
office16_660_164_aout_B,4337,4.58754548e-05,96.37777777777778
office16_660_164_bout_B,4418,1.826482e-05,98.17777777777778
office16_660_246_aout_B,5746,4.50149564e-05,127.68888888888888
office16_660_246_bout_B,2451,1.5647518e-05,54.46666666666667
office16_660_82_aout_B,2438,2.43660015e-05,54.17777777777778
office16_660_82_bout_B,3829,4.90385173e-05,85.08888888888889
office16_960_0_B,4941,4.05965511e-05,109.8
office16_960_164_aout_B,5309,5.41880836e-05,117.97777777777777
office16_960_164_bout_B,6161,4.62568059e-05,136.9111111111111
office16_960_246_aout_B,6946,0.000101022073,154.35555555555555
office16_960_246_bout_B,6518,5.22386581e-05,144.84444444444443
office16_960_82_aout_B,3893,3.65369015e-05,86.5111111111111
office16_960_82_bout_B,3580,3.4534296e-05,79.55555555555556
office16_0_0_C,4409,8.98999224e-06,97.97777777777777
office16_0_164_aout_C,4730,2.78763764e-05,105.11111111111111
office16_0_164_bout_C,4868,1.37920961e-05,108.17777777777778
office16_0_246_aout_C,4355,2.75309885e-05,96.77777777777777
office16_0_246_bout_C,4386,1.17419459e-05,97.46666666666667
office16_0_82_aout_C,3360,1.52475322e-05,74.66666666666667
office16_0_82_bout_C,4336,1.30253011e-05,96.35555555555555
office16_360_0_C,1372,4.77317735e-06,30.488888888888887
office16_360_164_aout_C,2003,8.769347e-06,44.51111111111111
office16_360_164_bout_C,886,2.073926e-06,19.68888888888889
office16_360_246_aout_C,3894,1.20811656e-05,86.53333333333333
office16_360_246_bout_C,685,8.72069177e-06,15.222222222222221
office16_360_82_aout_C,2115,9.79965534e-06,47.0
office16_360_82_bout_C,1369,7.08666767e-06,30.42222222222222
office16_660_0_C,3429,3.15781836e-05,76.2
office16_660_164_aout_C,2234,4.49053587e-05,49.644444444444446
office16_660_164_bout_C,1401,2.44718594e-05,31.133333333333333
office16_660_246_aout_C,2856,2.4477984e-05,63.46666666666667
office16_660_246_bout_C,2429,3.37444144e-05,53.977777777777774
office16_660_82_aout_C,2044,1.72552318e-05,45.422222222222224
office16_660_82_bout_C,1683,1.27739859e-05,37.4
office16_960_0_C,6666,7.3398558e-05,148.13333333333333
office16_960_164_aout_C,4660,8.865157e-05,103.55555555555556
office16_960_164_bout_C,6419,0.000124907441,142.64444444444445
office16_960_246_aout_C,6523,0.000106837149,144.95555555555555
office16_960_246_bout_C,4749,5.69514777e-05,105.53333333333333
office16_960_82_aout_C,4670,6.52735471e-05,103.77777777777777
office16_960_82_bout_C,5989,0.000103548606,133.0888888888889
office16_0_0_D,3489,1.5666079e-05,77.53333333333333
office16_0_164_aout_D,6319,3.51808194e-05,140.42222222222222
office16_0_164_bout_D,4399,3.95546558e-05,97.75555555555556
office16_0_246_aout_D,4997,4.3614833e-05,111.04444444444445
office16_0_246_bout_D,5206,3.58153884e-05,115.68888888888888
office16_0_82_aout_D,5644,5.22567898e-05,125.42222222222222
office16_0_82_bout_D,4437,3.09898387e-05,98.6
office16_360_0_D,1758,2.02747797e-05,39.06666666666667
office16_360_164_aout_D,6431,9.89115724e-05,142.9111111111111
office16_360_164_bout_D,1611,1.42359559e-05,35.8
office16_360_246_aout_D,8438,0.000165330828,187.51111111111112
office16_360_246_bout_D,2259,2.22959625e-05,50.2
office16_360_82_aout_D,4386,4.25917133e-05,97.46666666666667
