A new study created in RDB with name: SVR_14125
Trial 37 finished with value: -5.386304363385385 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8437165835217024, 'degree': 3, 'C': 0.003978732582421323}. Best is trial 11 with value: 0.05531934963934123.
Trial 39 finished with value: -5.2415175875928925 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.767486967018814, 'degree': 2, 'C': 0.019314119056914207}. Best is trial 11 with value: 0.05531934963934123.
Trial 33 finished with value: -5.355340002548765 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.14120985941613018, 'degree': 2, 'C': 0.00010567896517353091}. Best is trial 11 with value: 0.05531934963934123.
Trial 27 finished with value: -1.0386912129654091 and parameters: {'kernel': 'linear', 'epsilon': 0.1396209364833041, 'degree': 5, 'C': 0.05776551710876005}. Best is trial 11 with value: 0.05531934963934123.
Trial 40 finished with value: -4.765414285620527 and parameters: {'kernel': 'poly', 'epsilon': 0.30159296513828193, 'degree': 3, 'C': 0.07483770999523436}. Best is trial 11 with value: 0.05531934963934123.
Trial 34 finished with value: -5.409902532838918 and parameters: {'kernel': 'poly', 'epsilon': 0.5510915296670801, 'degree': 3, 'C': 0.00044413350991654647}. Best is trial 11 with value: 0.05531934963934123.
Trial 43 finished with value: -5.37893032489218 and parameters: {'kernel': 'rbf', 'epsilon': 0.362820129440945, 'degree': 2, 'C': 0.002097527600428828}. Best is trial 11 with value: 0.05531934963934123.
Trial 28 finished with value: -5.366483943419579 and parameters: {'kernel': 'rbf', 'epsilon': 0.22298246800314425, 'degree': 3, 'C': 0.00023931767446449786}. Best is trial 11 with value: 0.05531934963934123.
Trial 35 finished with value: -5.16559149340029 and parameters: {'kernel': 'linear', 'epsilon': 0.7547191368202233, 'degree': 2, 'C': 0.0010326941524861392}. Best is trial 11 with value: 0.05531934963934123.
Trial 38 finished with value: -0.15060007909361878 and parameters: {'kernel': 'linear', 'epsilon': 0.2785424852151043, 'degree': 5, 'C': 0.24656856828574877}. Best is trial 11 with value: 0.05531934963934123.
Trial 36 finished with value: -5.316867766168554 and parameters: {'kernel': 'poly', 'epsilon': 0.36142425843503134, 'degree': 3, 'C': 0.00843736746867177}. Best is trial 11 with value: 0.05531934963934123.
Trial 47 finished with value: -1.1992378001031885 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.26421544648919015, 'degree': 4, 'C': 1.545809344132854}. Best is trial 11 with value: 0.05531934963934123.
Trial 45 finished with value: -0.3429897536428252 and parameters: {'kernel': 'rbf', 'epsilon': 0.9836412997476662, 'degree': 6, 'C': 3.5239676264427042}. Best is trial 11 with value: 0.05531934963934123.
Trial 41 finished with value: -4.9561592205004565 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9187179583683734, 'degree': 4, 'C': 0.058122194794663164}. Best is trial 11 with value: 0.05531934963934123.
Trial 44 finished with value: -5.386327626718993 and parameters: {'kernel': 'rbf', 'epsilon': 0.5073912854988325, 'degree': 3, 'C': 0.0055011110202525535}. Best is trial 11 with value: 0.05531934963934123.
Trial 48 finished with value: -4.321529941211897 and parameters: {'kernel': 'linear', 'epsilon': 0.29226717873331276, 'degree': 5, 'C': 0.005029262030395047}. Best is trial 11 with value: 0.05531934963934123.
Trial 42 finished with value: -0.38147226129725287 and parameters: {'kernel': 'linear', 'epsilon': 0.2985680494577213, 'degree': 2, 'C': 0.1426328846983632}. Best is trial 11 with value: 0.05531934963934123.
Trial 50 finished with value: -3.7720535216648132 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6952024544020093, 'degree': 6, 'C': 0.2340883373016296}. Best is trial 11 with value: 0.05531934963934123.
Trial 46 finished with value: -1.1874753245170975 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4912355375879073, 'degree': 4, 'C': 1.6084770224492915}. Best is trial 11 with value: 0.05531934963934123.
Trial 49 finished with value: -0.23231813120624878 and parameters: {'kernel': 'linear', 'epsilon': 0.6012557159074178, 'degree': 6, 'C': 0.1952559470880138}. Best is trial 11 with value: 0.05531934963934123.
Trial 53 finished with value: -1.7903115842710753 and parameters: {'kernel': 'poly', 'epsilon': 0.23538566109359094, 'degree': 3, 'C': 1.206380806655196}. Best is trial 11 with value: 0.05531934963934123.
Trial 57 finished with value: -5.426153730065753 and parameters: {'kernel': 'poly', 'epsilon': 0.7925578052057735, 'degree': 5, 'C': 0.00017043316629431894}. Best is trial 11 with value: 0.05531934963934123.
Trial 59 finished with value: -5.28715718120669 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7306039978388899, 'degree': 2, 'C': 0.015150825453762213}. Best is trial 11 with value: 0.05531934963934123.
Trial 52 finished with value: -1.1867416359651841 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6655657993602371, 'degree': 5, 'C': 1.54519031250391}. Best is trial 11 with value: 0.05531934963934123.
Trial 55 finished with value: -0.8541405024356019 and parameters: {'kernel': 'rbf', 'epsilon': 0.6679256038176002, 'degree': 6, 'C': 2.2297973330232512}. Best is trial 11 with value: 0.05531934963934123.
Trial 56 finished with value: -5.384282936284613 and parameters: {'kernel': 'rbf', 'epsilon': 0.36165536021413425, 'degree': 4, 'C': 0.0006585396389282645}. Best is trial 11 with value: 0.05531934963934123.
Trial 51 finished with value: -5.406622874990785 and parameters: {'kernel': 'rbf', 'epsilon': 0.5078527495275403, 'degree': 5, 'C': 0.00022279760431858243}. Best is trial 11 with value: 0.05531934963934123.
Trial 62 finished with value: -5.170704767756848 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.912805896366069, 'degree': 2, 'C': 0.029180863827219645}. Best is trial 11 with value: 0.05531934963934123.
Trial 61 finished with value: -1.2308489202236543 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.1124531978420169, 'degree': 6, 'C': 1.4892187406252233}. Best is trial 11 with value: 0.05531934963934123.
Trial 65 finished with value: -4.935549885845288 and parameters: {'kernel': 'poly', 'epsilon': 0.7897695095846341, 'degree': 2, 'C': 0.08686732092097833}. Best is trial 11 with value: 0.05531934963934123.
Trial 64 finished with value: -5.384935848967541 and parameters: {'kernel': 'poly', 'epsilon': 0.9912186469928764, 'degree': 3, 'C': 0.0030534403396456733}. Best is trial 11 with value: 0.05531934963934123.
Trial 54 finished with value: -5.064616429015097 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4905577999844234, 'degree': 6, 'C': 0.041819975711843295}. Best is trial 11 with value: 0.05531934963934123.
Trial 60 finished with value: -0.9514568659678045 and parameters: {'kernel': 'linear', 'epsilon': 0.5993650080921499, 'degree': 2, 'C': 0.06520385678797157}. Best is trial 11 with value: 0.05531934963934123.
Trial 68 finished with value: -0.020145651641261565 and parameters: {'kernel': 'linear', 'epsilon': 0.5897925711232799, 'degree': 3, 'C': 7.2640234294449}. Best is trial 11 with value: 0.05531934963934123.
