A new study created in RDB with name: Poly_Ridge_134851
Trial 32 finished with value: -0.024104603985989292 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.4983675848338496, 'max_iter': 98495}. Best is trial 24 with value: 0.5935389723690505.
Trial 38 finished with value: 0.14030867009530235 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.011952919662417153, 'max_iter': 65888}. Best is trial 24 with value: 0.5935389723690505.
Trial 44 finished with value: -0.9823656012260468 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.0651053158211923, 'max_iter': 83573}. Best is trial 24 with value: 0.5935389723690505.
Trial 40 finished with value: 0.0712862219015645 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.0021099786495201067, 'max_iter': 88410}. Best is trial 45 with value: 0.6276637228474578.
Trial 30 finished with value: 0.04373509922486672 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 9.24539026066065, 'max_iter': 66501}. Best is trial 45 with value: 0.6276637228474578.
Trial 42 finished with value: -0.753648982810287 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.0006069117741744262, 'max_iter': 73841}. Best is trial 45 with value: 0.6276637228474578.
Trial 45 finished with value: 0.6276637228474578 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 1.748730009405024, 'max_iter': 15313}. Best is trial 45 with value: 0.6276637228474578.
Trial 29 finished with value: -5.768380767720483 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.03845218564086657, 'max_iter': 28367}. Best is trial 45 with value: 0.6276637228474578.
Trial 41 finished with value: -0.476299971583474 and parameters: {'n_components': 11, 'degree': 5, 'alpha': 0.0015932708177217485, 'max_iter': 72409}. Best is trial 45 with value: 0.6276637228474578.
Trial 37 finished with value: 0.24661846035523843 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 1.801789354896407, 'max_iter': 90783}. Best is trial 45 with value: 0.6276637228474578.
Trial 47 finished with value: 0.5690150407044113 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 0.7125357374000958, 'max_iter': 25895}. Best is trial 45 with value: 0.6276637228474578.
Trial 43 finished with value: 0.5677082089190661 and parameters: {'n_components': 10, 'degree': 4, 'alpha': 0.0037022551058360055, 'max_iter': 37596}. Best is trial 45 with value: 0.6276637228474578.
Trial 39 finished with value: 0.2642437796784229 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.00199787819857812, 'max_iter': 75180}. Best is trial 45 with value: 0.6276637228474578.
Trial 46 finished with value: 0.26991457024641213 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.0005707115476481607, 'max_iter': 49479}. Best is trial 45 with value: 0.6276637228474578.
Trial 49 finished with value: 0.14126325152353983 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.02371127854430226, 'max_iter': 40471}. Best is trial 45 with value: 0.6276637228474578.
Trial 53 finished with value: -4.896933226095683 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.8848329729256632, 'max_iter': 95412}. Best is trial 45 with value: 0.6276637228474578.
Trial 54 finished with value: 0.07121604855865671 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.00023886472097343125, 'max_iter': 84605}. Best is trial 45 with value: 0.6276637228474578.
Trial 63 finished with value: -5.768379044794692 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.007174763661295986, 'max_iter': 41282}. Best is trial 45 with value: 0.6276637228474578.
Trial 48 finished with value: 0.3455059003313853 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.05360075633602034, 'max_iter': 83220}. Best is trial 45 with value: 0.6276637228474578.
Trial 59 finished with value: -1.8430374241446597 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.0023546807844224433, 'max_iter': 35237}. Best is trial 45 with value: 0.6276637228474578.
Trial 50 finished with value: 0.14043322490454424 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.013149934600923544, 'max_iter': 31487}. Best is trial 45 with value: 0.6276637228474578.
Trial 62 finished with value: 0.18434012872659775 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 3.985733766122971, 'max_iter': 59838}. Best is trial 45 with value: 0.6276637228474578.
Trial 57 finished with value: 0.15463999031627598 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 2.0050709059652636, 'max_iter': 51240}. Best is trial 45 with value: 0.6276637228474578.
Trial 68 finished with value: 0.43881414653747003 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.00014300797203258675, 'max_iter': 53119}. Best is trial 45 with value: 0.6276637228474578.
Trial 58 finished with value: -0.2530412671157796 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.11025949476149582, 'max_iter': 20372}. Best is trial 45 with value: 0.6276637228474578.
Trial 52 finished with value: 0.18300805299137343 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.00791532569338262, 'max_iter': 55619}. Best is trial 45 with value: 0.6276637228474578.
Trial 60 finished with value: -1.1270312544848073 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.01670990881044565, 'max_iter': 99409}. Best is trial 45 with value: 0.6276637228474578.
Trial 56 finished with value: -2.703606578413439 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 0.7846771774189459, 'max_iter': 36519}. Best is trial 45 with value: 0.6276637228474578.
Trial 51 finished with value: -0.25084495818222496 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 1.393912090006701, 'max_iter': 1053}. Best is trial 45 with value: 0.6276637228474578.
Trial 64 finished with value: 0.13901047343712794 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.002399261308507448, 'max_iter': 79015}. Best is trial 45 with value: 0.6276637228474578.
Trial 55 finished with value: 0.5680985619465362 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 1.94743056703245, 'max_iter': 7130}. Best is trial 45 with value: 0.6276637228474578.
Trial 61 finished with value: -0.02384302889135189 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.00016950804862027257, 'max_iter': 43365}. Best is trial 45 with value: 0.6276637228474578.
Trial 66 finished with value: -4.441834936892857 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.043265484172935936, 'max_iter': 32160}. Best is trial 45 with value: 0.6276637228474578.
Trial 69 finished with value: -4.972390976063155 and parameters: {'n_components': 1, 'degree': 3, 'alpha': 0.005370020028838857, 'max_iter': 88897}. Best is trial 45 with value: 0.6276637228474578.
Trial 67 finished with value: 0.45940182843492694 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.00011051141334451308, 'max_iter': 46487}. Best is trial 45 with value: 0.6276637228474578.
Trial 70 finished with value: 0.4113014697271713 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 0.00240664675496133, 'max_iter': 50545}. Best is trial 45 with value: 0.6276637228474578.
Trial 65 finished with value: 0.4360967716179595 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.292393171607493, 'max_iter': 79271}. Best is trial 45 with value: 0.6276637228474578.
Trial 72 finished with value: -1.1270333103653767 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.0011732792122801225, 'max_iter': 95517}. Best is trial 45 with value: 0.6276637228474578.
Trial 74 finished with value: -4.897007734347569 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0006660997736038501, 'max_iter': 52936}. Best is trial 45 with value: 0.6276637228474578.
Trial 76 finished with value: 0.5652034202901326 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 0.004144650182907703, 'max_iter': 4869}. Best is trial 45 with value: 0.6276637228474578.
Trial 75 finished with value: 0.45635612344201354 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.019608569259417723, 'max_iter': 15899}. Best is trial 45 with value: 0.6276637228474578.
Trial 79 finished with value: -0.02384303444857987 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.00018273707902272644, 'max_iter': 6387}. Best is trial 45 with value: 0.6276637228474578.
Trial 78 finished with value: -1.726213712577573 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.0004843122107173941, 'max_iter': 5083}. Best is trial 45 with value: 0.6276637228474578.
Trial 71 finished with value: -0.09538259498533566 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 6.721234197199647, 'max_iter': 7052}. Best is trial 45 with value: 0.6276637228474578.
Trial 77 finished with value: -0.25321757321087557 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.01184499422966825, 'max_iter': 89926}. Best is trial 45 with value: 0.6276637228474578.
Trial 73 finished with value: 0.18306378153404682 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.003488889869956483, 'max_iter': 76351}. Best is trial 45 with value: 0.6276637228474578.
Trial 85 finished with value: -4.972397333310964 and parameters: {'n_components': 1, 'degree': 3, 'alpha': 0.01463790467534578, 'max_iter': 6520}. Best is trial 45 with value: 0.6276637228474578.
Trial 81 finished with value: 0.039780286018347766 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 4.054143994939403, 'max_iter': 83586}. Best is trial 45 with value: 0.6276637228474578.
Trial 83 finished with value: 0.4285131921417843 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 2.980561337554336, 'max_iter': 80132}. Best is trial 45 with value: 0.6276637228474578.
Trial 80 finished with value: 0.09836227700098547 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.012727927159136367, 'max_iter': 32459}. Best is trial 45 with value: 0.6276637228474578.
Trial 87 finished with value: -5.116537284644291 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.0025323157004304322, 'max_iter': 56172}. Best is trial 45 with value: 0.6276637228474578.
Trial 84 finished with value: -5.768404994312384 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.4779051466589629, 'max_iter': 26770}. Best is trial 45 with value: 0.6276637228474578.
Trial 82 finished with value: 0.5337991993978114 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 5.72686818060721, 'max_iter': 45327}. Best is trial 45 with value: 0.6276637228474578.
Trial 89 finished with value: 0.4085855739383389 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 0.002322905304534567, 'max_iter': 50140}. Best is trial 45 with value: 0.6276637228474578.
Trial 88 finished with value: 0.04258541967855718 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.18225700665219172, 'max_iter': 89149}. Best is trial 45 with value: 0.6276637228474578.
Trial 93 finished with value: 0.281783841222202 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 0.04571460056381241, 'max_iter': 99919}. Best is trial 45 with value: 0.6276637228474578.
Trial 91 finished with value: 0.18248954680361557 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.25378970959111463, 'max_iter': 34711}. Best is trial 45 with value: 0.6276637228474578.
Trial 92 finished with value: -5.075613695642239 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.00032950654042471336, 'max_iter': 17907}. Best is trial 45 with value: 0.6276637228474578.
Trial 86 finished with value: -0.9823002189218741 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.021567266973275667, 'max_iter': 6725}. Best is trial 45 with value: 0.6276637228474578.
Trial 90 finished with value: 0.45555488105642583 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.056534288048401236, 'max_iter': 56486}. Best is trial 45 with value: 0.6276637228474578.
Trial 96 finished with value: -5.116536970757274 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.0014846733998493953, 'max_iter': 87179}. Best is trial 45 with value: 0.6276637228474578.
Trial 95 finished with value: -0.023843114501464025 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.0003732825312059973, 'max_iter': 67341}. Best is trial 45 with value: 0.6276637228474578.
Trial 94 finished with value: 0.17537964587065508 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.00017989387849568086, 'max_iter': 60074}. Best is trial 45 with value: 0.6276637228474578.
Trial 98 finished with value: 0.6323021581441557 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 5.894679291585266, 'max_iter': 83319}. Best is trial 98 with value: 0.6323021581441557.
Trial 99 finished with value: -1.8430381637174935 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.001143927160023062, 'max_iter': 82871}. Best is trial 98 with value: 0.6323021581441557.
Trial 97 finished with value: -1.027921346958382 and parameters: {'n_components': 11, 'degree': 5, 'alpha': 0.007536863388889072, 'max_iter': 43974}. Best is trial 98 with value: 0.6323021581441557.
