A new study created in RDB with name: SVR_65137
Trial 32 finished with value: 0.7252066008635583 and parameters: {'kernel': 'linear', 'epsilon': 0.8184744778389378, 'degree': 4, 'C': 0.1972837346471484}. Best is trial 3 with value: 0.7752417975614934.
Trial 25 finished with value: -0.03551016815685491 and parameters: {'kernel': 'linear', 'epsilon': 0.8655096170400752, 'degree': 3, 'C': 0.0013255784855059074}. Best is trial 3 with value: 0.7752417975614934.
Trial 24 finished with value: -0.06236573749238842 and parameters: {'kernel': 'poly', 'epsilon': 0.40293133740821097, 'degree': 3, 'C': 0.0009405088126168374}. Best is trial 3 with value: 0.7752417975614934.
Trial 38 finished with value: -0.05847543741974176 and parameters: {'kernel': 'poly', 'epsilon': 0.2178449679854333, 'degree': 6, 'C': 0.004670345474553634}. Best is trial 3 with value: 0.7752417975614934.
Trial 31 finished with value: 0.7733793463378039 and parameters: {'kernel': 'linear', 'epsilon': 0.5567979037468597, 'degree': 2, 'C': 3.2149373004874415}. Best is trial 3 with value: 0.7752417975614934.
Trial 40 finished with value: -0.0353654864547712 and parameters: {'kernel': 'linear', 'epsilon': 0.2945307335265116, 'degree': 3, 'C': 0.0012380562691595507}. Best is trial 3 with value: 0.7752417975614934.
Trial 41 finished with value: 0.7747466480534249 and parameters: {'kernel': 'linear', 'epsilon': 0.5100045961465057, 'degree': 3, 'C': 6.498466651071293}. Best is trial 3 with value: 0.7752417975614934.
Trial 43 finished with value: 0.7294441162843446 and parameters: {'kernel': 'poly', 'epsilon': 0.6842815853720206, 'degree': 6, 'C': 8.672612835258741}. Best is trial 3 with value: 0.7752417975614934.
Trial 37 finished with value: 0.014322418069590514 and parameters: {'kernel': 'poly', 'epsilon': 0.09916584360695613, 'degree': 5, 'C': 0.11822017342742763}. Best is trial 3 with value: 0.7752417975614934.
Trial 39 finished with value: -0.062322965808259426 and parameters: {'kernel': 'poly', 'epsilon': 0.22709958546645115, 'degree': 2, 'C': 0.00018924756690864015}. Best is trial 3 with value: 0.7752417975614934.
Trial 44 finished with value: -0.046470457320693694 and parameters: {'kernel': 'poly', 'epsilon': 0.3045482642266235, 'degree': 5, 'C': 0.023067169048510455}. Best is trial 3 with value: 0.7752417975614934.
Trial 42 finished with value: 0.00801594592234336 and parameters: {'kernel': 'linear', 'epsilon': 0.479600368449575, 'degree': 5, 'C': 0.0033287693376091603}. Best is trial 3 with value: 0.7752417975614934.
Trial 46 finished with value: 0.7694922256308334 and parameters: {'kernel': 'linear', 'epsilon': 0.5204345560935908, 'degree': 6, 'C': 0.5686339901063945}. Best is trial 3 with value: 0.7752417975614934.
Trial 45 finished with value: -0.05833002912323203 and parameters: {'kernel': 'linear', 'epsilon': 0.10244212207729086, 'degree': 4, 'C': 0.00016948982441349373}. Best is trial 3 with value: 0.7752417975614934.
Trial 34 finished with value: -0.05991464113010035 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.06903793901485211, 'degree': 2, 'C': 0.0026650545226940365}. Best is trial 3 with value: 0.7752417975614934.
Trial 33 finished with value: -0.0622342177608035 and parameters: {'kernel': 'poly', 'epsilon': 0.349933401098353, 'degree': 2, 'C': 0.0010113170788105172}. Best is trial 3 with value: 0.7752417975614934.
Trial 47 finished with value: -0.05651538162845025 and parameters: {'kernel': 'linear', 'epsilon': 0.7915644442328629, 'degree': 4, 'C': 0.0003602024013148565}. Best is trial 3 with value: 0.7752417975614934.
Trial 51 finished with value: -0.0615814310718957 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4972131241510326, 'degree': 2, 'C': 0.0021660528796192766}. Best is trial 3 with value: 0.7752417975614934.
Trial 48 finished with value: -0.06431572675204192 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7810316699861298, 'degree': 6, 'C': 0.00010547734924969632}. Best is trial 3 with value: 0.7752417975614934.
Trial 56 finished with value: 0.08678566200035698 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6450291381243449, 'degree': 4, 'C': 0.20150867394884844}. Best is trial 3 with value: 0.7752417975614934.
Trial 49 finished with value: 0.27365207830700206 and parameters: {'kernel': 'linear', 'epsilon': 0.8586655755424079, 'degree': 5, 'C': 0.020348662336378425}. Best is trial 3 with value: 0.7752417975614934.
Trial 53 finished with value: -0.029227998796441668 and parameters: {'kernel': 'linear', 'epsilon': 0.24866034456541364, 'degree': 4, 'C': 0.0015096351506780376}. Best is trial 3 with value: 0.7752417975614934.
