0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
7199.0,5981.0,5486.0,5228.8,6234.4,4638.6,3824.6,4343.2,2901.8,1152.8,3965.6,3048.2,2284.8,1504.0,1293.8,2030.6,272.0,1905.6,1472.4,2607.4,2056.2,1618.8,1036.8,1266.8,1966.8,3279.0,1676.2,1435.8
7018.4,5925.2,5379.8,5171.2,6219.2,4638.8,3754.2,4028.2,2846.2,1143.0,3999.4,2910.4,2274.0,1428.6,1287.6,2036.6,251.0,1867.4,1423.4,2150.0,1916.0,1511.8,676.2,1208.6,1891.2,1907.8,1644.2,1415.4
6918.4,5842.6,5294.4,5117.8,6217.6,4645.0,3736.6,4105.2,2828.6,1122.0,4007.4,2683.8,2269.0,1389.6,1284.6,2028.6,229.4,1710.0,1406.6,1893.2,1714.2,1438.4,532.6,1157.6,1862.6,1762.2,1364.0,1257.6
6960.4,5789.4,5271.2,5100.2,6213.8,4633.0,3711.4,4007.4,2812.4,1085.6,3978.0,2601.8,2263.4,1420.6,1280.2,2016.8,216.6,1603.6,1397.2,1660.8,1756.0,1398.4,524.2,1120.6,1842.2,1667.6,1323.4,1235.6
6735.0,5743.6,5402.0,5095.0,6214.2,4606.6,3671.6,3972.6,2789.0,1063.6,3905.0,2763.4,2192.0,1411.0,1274.8,1985.6,213.0,1536.0,1376.6,1650.0,1722.8,1327.0,534.4,1119.2,1799.4,1626.8,967.8,1160.8
5971.8,5705.0,5519.2,5130.4,6216.8,4604.8,3657.8,3861.0,2783.0,1046.0,3863.8,2742.2,2171.2,1397.0,1244.6,1949.2,208.2,1446.6,1357.8,1646.6,1665.0,1231.2,652.0,1116.4,1768.4,1572.0,820.8,1166.4
5907.2,5683.4,5510.0,5173.8,6220.2,4582.6,3618.4,3588.4,2747.4,1038.8,3826.8,2739.6,2162.6,1344.0,1223.6,1920.4,202.8,1385.8,1334.2,1640.6,1597.0,1191.2,593.4,1105.0,1744.4,1543.6,670.8,1168.6
5836.8,5340.4,5468.2,5116.0,6193.8,4547.2,3592.8,3195.4,2742.0,1028.4,3766.4,2738.2,2147.4,1320.4,1167.0,1913.4,201.6,1355.4,1307.6,1631.6,1566.0,1186.4,551.6,1097.4,1655.6,1512.6,666.6,1166.8
5773.6,5232.6,5423.4,5051.4,6205.0,4528.4,3570.8,3153.0,2692.2,996.8,3608.2,2748.0,2151.0,1392.6,992.6,1909.0,202.8,1300.8,1215.8,1622.2,1462.2,1185.2,454.6,1094.8,1617.4,1487.8,666.4,1147.6
5675.8,5188.8,5424.2,4946.2,6269.8,4493.4,3541.4,3124.2,2658.2,985.4,3551.6,2757.0,2164.2,1341.4,948.6,1905.0,210.4,1251.6,1008.2,1607.8,1392.0,1181.8,398.8,1094.6,1511.6,1481.2,662.0,958.8
