0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9850.2,9333.0,9817.8,9795.2,9772.0,9823.4,9891.8,9808.4,9864.0,9834.4,9808.8,9797.8,9847.4,9894.6,9895.8,9872.8,9888.2,9433.4,9853.2,9854.4,9886.4,9843.4,9902.8,9812.4,9908.4,9747.2,9810.4,9844.2
8980.6,7958.6,8885.2,8432.0,8761.2,8794.2,9005.4,8705.8,8581.8,8944.8,8600.6,8730.6,8745.8,8794.8,8859.2,8882.4,8963.0,7993.4,8939.2,8996.4,8897.6,8717.8,8336.2,8717.0,8619.2,8714.8,8653.0,8854.6
8274.6,7391.8,7646.2,7262.6,7836.2,8077.2,8151.0,7968.2,7776.2,8398.8,7580.0,8106.6,8034.8,7667.6,8375.6,8116.0,8132.8,7482.2,8458.4,8273.8,7996.8,8158.8,7683.4,8125.8,8029.6,7917.4,7919.4,8314.4
7612.6,7032.4,6938.2,6684.6,7693.6,7529.6,7636.6,7516.6,7268.6,7986.6,7017.8,7711.2,7564.2,7311.8,7928.4,7315.6,7654.0,7346.2,7881.4,7726.0,7625.0,7666.4,7261.6,7787.6,7630.8,7612.8,7468.6,7928.8
7093.2,6779.2,6572.0,6353.0,7516.8,7076.0,7352.4,7201.0,6782.6,7718.0,6688.6,7483.0,7429.8,7230.6,7463.6,6847.4,7249.2,6926.2,7380.4,7393.0,7427.4,7368.2,7062.8,7341.2,7356.0,7510.8,7080.6,7573.4
6809.6,6594.0,6333.0,5912.4,7185.4,6871.2,7180.6,6942.8,6520.6,7259.6,6493.0,7259.8,7164.6,7021.0,6999.2,6389.4,6961.0,6716.0,7149.2,7084.0,7284.4,7203.0,6953.0,7057.2,7144.8,7286.8,6705.2,7350.6
6548.4,6481.2,6166.0,5525.6,7067.4,6778.0,6988.0,6772.4,6359.6,6963.2,6334.4,6874.6,7045.0,6804.4,6779.8,6081.8,6796.8,6706.0,6931.8,6850.4,7142.0,7043.8,6887.0,6963.4,6928.6,6934.2,6466.2,6941.2
6399.4,6351.0,6051.6,5340.0,6867.0,6705.6,6752.6,6669.0,6151.4,6698.8,6173.2,6517.0,6978.0,6596.6,6578.8,5993.2,6710.0,6675.0,6689.4,6609.2,7045.4,6833.0,6782.6,6840.6,6781.6,6736.0,6361.6,6571.4
6308.2,6344.0,5989.8,5219.0,6743.2,6647.0,6550.0,6653.6,6065.8,6545.8,6198.0,6223.0,6899.6,6393.4,6402.2,5910.6,6558.2,6602.8,6587.0,6369.0,6830.4,6555.6,6785.4,6817.4,6657.8,6542.0,6320.2,6345.4
6283.0,6313.6,5929.6,5150.0,6622.0,6489.8,6289.6,6597.6,6016.2,6369.2,6169.0,6051.0,6795.4,6283.2,6288.0,5830.8,6505.6,6540.8,6429.6,6325.8,6472.0,6362.6,6821.4,6787.4,6592.4,6309.8,6189.2,6184.8
6214.0,6167.0,5865.8,5025.8,6474.2,6229.0,6107.4,6489.0,5982.6,6234.0,6176.0,5924.0,6717.6,6192.2,6235.4,5705.0,6427.0,6469.6,6344.6,6312.0,6094.6,6269.8,6770.8,6725.2,6444.0,6157.8,6029.2,6062.6
