A new study created in RDB with name: Poly_Lasso_23819
Trial 4 finished with value: 0.78000258105744 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 0.007565385994485679, 'max_iter': 61836}. Best is trial 6 with value: 0.8205690172545038.
Trial 6 finished with value: 0.8205690172545038 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 2.197551222647798, 'max_iter': 38978}. Best is trial 6 with value: 0.8205690172545038.
Trial 8 finished with value: 0.7801696789642505 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 0.0003019528911698491, 'max_iter': 81496}. Best is trial 6 with value: 0.8205690172545038.
Trial 12 finished with value: 0.39890339844990064 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.058298113786983914, 'max_iter': 62504}. Best is trial 6 with value: 0.8205690172545038.
Trial 1 finished with value: 0.7801186629554913 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 4.306178528656738, 'max_iter': 79630}. Best is trial 6 with value: 0.8205690172545038.
Trial 5 finished with value: 0.46642400363654357 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.07970098768197997, 'max_iter': 28621}. Best is trial 6 with value: 0.8205690172545038.
Trial 2 finished with value: 0.7763177645010229 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.7994285611547617, 'max_iter': 15572}. Best is trial 6 with value: 0.8205690172545038.
Trial 10 finished with value: 0.45063256262845836 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.00024314235982315425, 'max_iter': 64911}. Best is trial 6 with value: 0.8205690172545038.
Trial 19 finished with value: 0.7715999263970722 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 1.596907775653824, 'max_iter': 90675}. Best is trial 6 with value: 0.8205690172545038.
Trial 16 finished with value: 0.3878006144896817 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.08740102175166037, 'max_iter': 4712}. Best is trial 6 with value: 0.8205690172545038.
Trial 3 finished with value: 0.7604307598247975 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 0.0012153409225410855, 'max_iter': 6051}. Best is trial 6 with value: 0.8205690172545038.
Trial 15 finished with value: 0.550273651845276 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.23466580407275323, 'max_iter': 16367}. Best is trial 6 with value: 0.8205690172545038.
Trial 9 finished with value: 0.8009425851818831 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.13516379366027678, 'max_iter': 61114}. Best is trial 6 with value: 0.8205690172545038.
Trial 0 finished with value: 0.7768220865697186 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.08156682469898077, 'max_iter': 46362}. Best is trial 6 with value: 0.8205690172545038.
Trial 14 finished with value: 0.2734599630201136 and parameters: {'n_components': 10, 'degree': 4, 'alpha': 0.0003156604586417804, 'max_iter': 1534}. Best is trial 6 with value: 0.8205690172545038.
Trial 7 finished with value: 0.7491975308988137 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.00011288438618387379, 'max_iter': 4482}. Best is trial 6 with value: 0.8205690172545038.
Trial 13 finished with value: 0.6498808700482066 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.0012374678605840631, 'max_iter': 4844}. Best is trial 6 with value: 0.8205690172545038.
Trial 11 finished with value: 0.7902672190899881 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.0024262467694394067, 'max_iter': 70032}. Best is trial 6 with value: 0.8205690172545038.
Trial 17 finished with value: 0.6173781328232233 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.01041078065815297, 'max_iter': 95250}. Best is trial 6 with value: 0.8205690172545038.
Trial 18 finished with value: 0.6069113733420275 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 0.00012962796298972572, 'max_iter': 50343}. Best is trial 6 with value: 0.8205690172545038.
