A new study created in RDB with name: Poly_ElasticNet_71149
Trial 33 finished with value: 0.8214469856030473 and parameters: {'n_components': 11, 'degree': 3, 'l1_ratio': 0.8495381915994359, 'max_iter': 40897}. Best is trial 8 with value: 0.8277213553924809.
Trial 41 finished with value: 0.8217910533455466 and parameters: {'n_components': 11, 'degree': 2, 'l1_ratio': 0.24001777783549727, 'max_iter': 4738}. Best is trial 8 with value: 0.8277213553924809.
Trial 44 finished with value: 0.8254640401261175 and parameters: {'n_components': 10, 'degree': 2, 'l1_ratio': 0.3445440594975331, 'max_iter': 38625}. Best is trial 8 with value: 0.8277213553924809.
Trial 28 finished with value: 0.770790697581851 and parameters: {'n_components': 5, 'degree': 4, 'l1_ratio': 0.8336010141056719, 'max_iter': 25224}. Best is trial 8 with value: 0.8277213553924809.
Trial 45 finished with value: 0.8144700412166299 and parameters: {'n_components': 10, 'degree': 4, 'l1_ratio': 0.9144194054024345, 'max_iter': 95221}. Best is trial 8 with value: 0.8277213553924809.
Trial 52 finished with value: 0.024884820329597157 and parameters: {'n_components': 1, 'degree': 1, 'l1_ratio': 0.15057396987257288, 'max_iter': 35039}. Best is trial 8 with value: 0.8277213553924809.
Trial 47 finished with value: 0.7827061442410118 and parameters: {'n_components': 4, 'degree': 3, 'l1_ratio': 0.03962593361057065, 'max_iter': 29337}. Best is trial 8 with value: 0.8277213553924809.
Trial 48 finished with value: 0.8068532750262944 and parameters: {'n_components': 9, 'degree': 3, 'l1_ratio': 0.16755725181659908, 'max_iter': 4193}. Best is trial 8 with value: 0.8277213553924809.
Trial 50 finished with value: 0.7833421142226271 and parameters: {'n_components': 4, 'degree': 2, 'l1_ratio': 0.0315618422697288, 'max_iter': 57900}. Best is trial 8 with value: 0.8277213553924809.
Trial 51 finished with value: 0.7698872145090443 and parameters: {'n_components': 2, 'degree': 4, 'l1_ratio': 0.8009571774001332, 'max_iter': 25576}. Best is trial 8 with value: 0.8277213553924809.
Trial 53 finished with value: 0.772701394736656 and parameters: {'n_components': 6, 'degree': 3, 'l1_ratio': 0.07443699565904005, 'max_iter': 44990}. Best is trial 8 with value: 0.8277213553924809.
Trial 54 finished with value: 0.46370594366967516 and parameters: {'n_components': 6, 'degree': 1, 'l1_ratio': 0.2592521459260082, 'max_iter': 87658}. Best is trial 8 with value: 0.8277213553924809.
Trial 58 finished with value: 0.4038486492557804 and parameters: {'n_components': 3, 'degree': 1, 'l1_ratio': 0.24390002074898687, 'max_iter': 97338}. Best is trial 8 with value: 0.8277213553924809.
Trial 60 finished with value: 0.3278791588125123 and parameters: {'n_components': 1, 'degree': 2, 'l1_ratio': 0.3187299036907941, 'max_iter': 3671}. Best is trial 8 with value: 0.8277213553924809.
Trial 57 finished with value: 0.784876650044201 and parameters: {'n_components': 7, 'degree': 2, 'l1_ratio': 0.9468609817440572, 'max_iter': 28727}. Best is trial 8 with value: 0.8277213553924809.
Trial 56 finished with value: 0.7665996138604603 and parameters: {'n_components': 2, 'degree': 3, 'l1_ratio': 0.13662057944235695, 'max_iter': 99107}. Best is trial 8 with value: 0.8277213553924809.
Trial 55 finished with value: 0.44690502437047624 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.5129511717207658, 'max_iter': 93858}. Best is trial 8 with value: 0.8277213553924809.
Trial 61 finished with value: 0.7776907853967393 and parameters: {'n_components': 5, 'degree': 3, 'l1_ratio': 0.12914099951536195, 'max_iter': 82946}. Best is trial 8 with value: 0.8277213553924809.
Trial 64 finished with value: 0.7677909966006523 and parameters: {'n_components': 2, 'degree': 3, 'l1_ratio': 0.5922554677778317, 'max_iter': 53522}. Best is trial 8 with value: 0.8277213553924809.
Trial 62 finished with value: 0.44890027940641986 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.6764547715504742, 'max_iter': 80989}. Best is trial 8 with value: 0.8277213553924809.
Trial 59 finished with value: 0.3160699372453809 and parameters: {'n_components': 2, 'degree': 1, 'l1_ratio': 0.09247719961378376, 'max_iter': 28207}. Best is trial 8 with value: 0.8277213553924809.
Trial 66 finished with value: 0.3153913062120164 and parameters: {'n_components': 2, 'degree': 1, 'l1_ratio': 0.033841514058536526, 'max_iter': 83588}. Best is trial 8 with value: 0.8277213553924809.
Trial 63 finished with value: 0.7785443028298761 and parameters: {'n_components': 5, 'degree': 3, 'l1_ratio': 0.33570699908478785, 'max_iter': 94059}. Best is trial 8 with value: 0.8277213553924809.
Trial 49 finished with value: 0.7784545225453824 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.06395346539000202, 'max_iter': 70267}. Best is trial 8 with value: 0.8277213553924809.
Trial 68 finished with value: 0.32834980465508257 and parameters: {'n_components': 1, 'degree': 2, 'l1_ratio': 0.589173496404116, 'max_iter': 16670}. Best is trial 8 with value: 0.8277213553924809.
Trial 67 finished with value: 0.3973837314427942 and parameters: {'n_components': 1, 'degree': 5, 'l1_ratio': 0.9323166371282198, 'max_iter': 57966}. Best is trial 8 with value: 0.8277213553924809.
Trial 74 finished with value: 0.8246510036318588 and parameters: {'n_components': 11, 'degree': 2, 'l1_ratio': 0.5225106123817334, 'max_iter': 44545}. Best is trial 8 with value: 0.8277213553924809.
Trial 73 finished with value: 0.7102901138412581 and parameters: {'n_components': 10, 'degree': 1, 'l1_ratio': 0.1807431933658753, 'max_iter': 15504}. Best is trial 8 with value: 0.8277213553924809.
Trial 77 finished with value: 0.5340802937257214 and parameters: {'n_components': 7, 'degree': 1, 'l1_ratio': 0.1882058275599332, 'max_iter': 61871}. Best is trial 8 with value: 0.8277213553924809.
Trial 75 finished with value: 0.7784391515933077 and parameters: {'n_components': 3, 'degree': 2, 'l1_ratio': 0.6453814044839906, 'max_iter': 70189}. Best is trial 8 with value: 0.8277213553924809.
Trial 72 finished with value: 0.5485553760072465 and parameters: {'n_components': 7, 'degree': 1, 'l1_ratio': 0.9327292321228109, 'max_iter': 5378}. Best is trial 8 with value: 0.8277213553924809.
Trial 70 finished with value: 0.816204547741609 and parameters: {'n_components': 10, 'degree': 4, 'l1_ratio': 0.963281540650148, 'max_iter': 16340}. Best is trial 8 with value: 0.8277213553924809.
Trial 65 finished with value: 0.8098327201344316 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.5553921177542217, 'max_iter': 8408}. Best is trial 8 with value: 0.8277213553924809.
Trial 76 finished with value: 0.7693890959084937 and parameters: {'n_components': 2, 'degree': 5, 'l1_ratio': 0.23664007681364052, 'max_iter': 23411}. Best is trial 8 with value: 0.8277213553924809.
Trial 80 finished with value: 0.32767105760890514 and parameters: {'n_components': 1, 'degree': 2, 'l1_ratio': 0.2214195594177737, 'max_iter': 2980}. Best is trial 8 with value: 0.8277213553924809.
Trial 79 finished with value: 0.5483098017526228 and parameters: {'n_components': 7, 'degree': 1, 'l1_ratio': 0.8116845871983264, 'max_iter': 15151}. Best is trial 8 with value: 0.8277213553924809.
Trial 85 finished with value: 0.7832470932640855 and parameters: {'n_components': 4, 'degree': 2, 'l1_ratio': 0.30358537322089185, 'max_iter': 45753}. Best is trial 8 with value: 0.8277213553924809.
Trial 84 finished with value: 0.7061845297698769 and parameters: {'n_components': 11, 'degree': 1, 'l1_ratio': 0.13630312053488647, 'max_iter': 96967}. Best is trial 8 with value: 0.8277213553924809.
Trial 71 finished with value: 0.7589945314317992 and parameters: {'n_components': 6, 'degree': 4, 'l1_ratio': 0.2728101016215094, 'max_iter': 85376}. Best is trial 8 with value: 0.8277213553924809.
Trial 82 finished with value: 0.7955239790043999 and parameters: {'n_components': 8, 'degree': 3, 'l1_ratio': 0.16063659411044995, 'max_iter': 73815}. Best is trial 8 with value: 0.8277213553924809.
Trial 90 finished with value: 0.31869741851406996 and parameters: {'n_components': 2, 'degree': 1, 'l1_ratio': 0.382881336945751, 'max_iter': 17244}. Best is trial 89 with value: 0.8301173458287995.
