casename,num_drop,volume[ml],RoI
office2_0_0,4517.8,3.080116336e-05,136.9030303030303
office2_0_164_aout,4170.2,2.2035418471999998e-05,126.36969696969697
office2_0_164_bout,3714.8,2.7319607305999998e-05,112.56969696969695
office2_0_246_aout,2908.0,1.4755592364e-05,88.12121212121212
office2_0_246_bout,3864.8,4.5297478037999996e-05,117.1151515151515
office2_0_82_aout,4833.6,2.0876039320000003e-05,146.47272727272727
office2_0_82_bout,3431.8,2.5894095940000003e-05,103.99393939393937
office2_360_0,3508.2,2.8376345194e-05,106.3090909090909
office2_360_164_aout,2521.2,1.8318042740000002e-05,76.4
office2_360_164_bout,3295.4,2.5860732972e-05,99.86060606060605
office2_360_246_aout,2219.6,1.2315449480000001e-05,67.26060606060607
office2_360_246_bout,5136.2,5.5821333662e-05,155.64242424242425
office2_360_82_aout,1826.6,1.4886667946e-05,55.35151515151516
office2_360_82_bout,2315.0,1.2299864100000002e-05,70.15151515151514
office2_660_0,4932.8,3.4160911300000005e-05,149.4787878787879
office2_660_164_aout,5858.8,4.689596828000001e-05,177.53939393939396
office2_660_164_bout,2807.0,3.39877384954e-05,85.06060606060606
office2_660_246_aout,3958.6,4.3332982020000004e-05,119.95757575757575
office2_660_246_bout,3480.2,2.98869826686e-05,105.46060606060605
office2_660_82_aout,4695.6,4.3106222117999995e-05,142.29090909090908
office2_660_82_bout,3357.0,2.448836184e-05,101.72727272727272
office2_960_0,5292.4,4.825289942e-05,160.3757575757576
office2_960_164_aout,4423.2,3.623565116e-05,134.03636363636366
office2_960_164_bout,4528.4,5.435576642e-05,137.22424242424245
office2_960_246_aout,5958.6,8.546241234000001e-05,180.56363636363636
office2_960_246_bout,5326.2,7.5498796e-05,161.4
office2_960_82_aout,3883.4,4.123744038e-05,117.6787878787879
office2_960_82_bout,4477.6,4.8712434e-05,135.6848484848485
office15_0_0,3015.0,2.289871992e-05,71.78571428571429
office15_0_164_aout,3166.6,3.123270178e-05,75.3952380952381
office15_0_164_bout,3575.2,4.3581035979999994e-05,85.12380952380951
office15_0_246_aout,4330.4,4.380554454e-05,103.1047619047619
office15_0_246_bout,3885.0,3.3622911456e-05,92.5
office15_0_82_aout,3084.4,2.8036116759999998e-05,73.43809523809524
office15_0_82_bout,2505.2,1.9230480865999997e-05,59.647619047619045
office15_360_0,3110.0,2.5593305512e-05,74.04761904761907
office15_360_164_aout,2873.8,2.5618844520660002e-05,68.42380952380952
office15_360_164_bout,3703.2,3.9707979079579405e-05,88.17142857142858
office15_360_246_aout,3869.4,2.4407229923999997e-05,92.12857142857142
office15_360_246_bout,3426.2,4.5417433828199997e-05,81.57619047619048
office15_360_82_aout,1894.6,1.69410832454e-05,45.109523809523814
office15_360_82_bout,2330.4,2.1332634333800004e-05,55.48571428571429
office15_660_0,3189.6,3.4251553544e-05,75.94285714285715
office15_660_164_aout,4145.8,3.0735497444e-05,98.7095238095238
office15_660_164_bout,4058.0,3.7353923834199996e-05,96.61904761904762
office15_660_246_aout,3299.8,3.541765984e-05,78.56666666666666
office15_660_246_bout,5035.4,6.039349379400001e-05,119.89047619047619
office15_660_82_aout,4146.4,4.281724414e-05,98.72380952380952
office15_660_82_bout,3337.0,3.4139104716000004e-05,79.45238095238093
office15_960_0,4589.8,5.575730556e-05,109.28095238095239
office15_960_164_aout,4956.2,4.24505317e-05,118.0047619047619
office15_960_164_bout,5376.2,5.8289101592e-05,128.0047619047619
office15_960_246_aout,5157.2,5.19437537e-05,122.7904761904762
office15_960_246_bout,4389.2,5.0042064679999996e-05,104.5047619047619
