0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
70.2,68.6,80.0,72.6,82.0,70.6,71.0,74.4,79.0,69.6,71.6,76.2,73.2,73.4,78.0,73.2,75.2,70.0,70.8,70.0,70.2,72.6,73.4,69.4,68.0,69.2,70.6,69.2
0.2,0.2,4.0,1.4,3.6,4.0,1.6,1.4,0.8,0.2,0.4,2.0,1.8,8.4,2.6,0.4,1.8,0.2,0.0,0.2,0.4,3.8,0.6,0.2,0.4,0.6,0.2,0.4
0.2,0.0,1.6,0.8,0.4,2.8,0.8,0.6,0.6,0.0,0.0,0.8,1.2,1.0,0.8,0.8,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.6,0.2,0.2
0.2,0.0,1.2,0.6,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.6,0.4,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.2,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
26.0,8.2,1.0,11.8,0.0,0.0,112.6,332.2,0.2,0.0,0.6,37.2,4.4,70.8,7.0,0.8,0.4,4.2,0.2,0.0,0.0,0.0,0.2,0.0,30.2,0.0,0.0,170.4
22.2,55.8,16.8,66.4,9.4,4.8,172.6,694.0,42.4,3.0,29.8,125.0,30.6,219.2,36.8,166.4,68.2,85.8,26.0,0.0,0.2,2.2,41.0,111.2,205.0,17.8,0.8,316.4
33.4,161.0,41.8,175.6,64.4,15.8,189.6,939.0,176.6,33.8,229.4,290.6,206.2,558.2,74.6,305.2,262.6,262.6,72.4,0.0,45.6,21.8,115.0,249.6,323.4,40.6,49.8,459.8
173.8,342.8,127.6,411.2,173.4,161.0,273.4,1082.4,462.2,214.2,462.4,413.0,485.6,740.0,124.8,385.4,452.0,626.0,108.8,116.4,134.6,12.0,216.4,314.6,500.8,103.8,121.2,550.6
374.6,491.6,363.8,598.8,313.6,419.4,393.8,1145.0,750.6,329.0,545.0,589.8,737.6,968.2,225.0,545.8,704.2,839.6,254.0,494.6,246.4,48.2,348.2,313.6,555.6,207.8,221.4,607.0
618.0,660.8,609.0,833.2,441.4,641.0,464.8,1084.2,1068.0,429.2,554.6,762.0,1094.6,1038.4,378.4,731.2,820.6,1005.2,485.4,848.2,331.6,136.8,446.6,328.2,532.6,276.8,301.8,729.8
905.4,922.6,818.0,981.2,541.6,864.8,656.8,1106.4,1249.4,486.6,548.2,826.8,1331.2,1168.0,523.8,938.6,977.8,1199.4,690.2,1109.4,420.2,258.0,514.2,337.6,565.2,321.4,373.4,787.2
1134.2,1073.6,1107.0,1138.6,615.8,1126.2,788.0,1144.8,1493.2,602.2,567.8,1033.2,1566.2,1281.8,723.6,1105.8,1167.8,1317.0,876.0,1257.4,502.2,408.2,536.0,336.4,603.0,374.0,502.0,833.8
1334.4,1196.8,1333.8,1293.6,676.2,1368.2,957.8,1228.0,1804.0,738.4,680.8,1112.0,1749.4,1378.0,957.0,1208.4,1406.0,1399.4,1012.0,1452.0,639.0,576.8,561.0,368.2,657.4,383.4,600.8,925.2
