0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
254.2,90.4,83.4,166.2,85.4,96.0,115.6,82.2,139.8,83.6,137.2,75.4,81.6,118.4,123.6,87.2,123.0,87.2,81.8,289.6,141.4,82.2,212.6,84.6,166.6,96.6,103.4,86.2
3.4,4.0,0.8,1.8,4.8,1.8,3.2,0.8,1.2,1.2,1.0,0.6,0.6,8.8,1.4,2.2,3.4,0.8,0.6,2.6,1.4,0.2,1.6,1.2,12.6,9.2,3.6,3.4
0.2,1.6,0.2,0.0,1.6,0.2,1.2,0.0,0.6,0.2,0.4,0.0,0.2,0.2,0.2,0.0,0.8,0.2,0.0,0.8,0.2,0.0,0.0,0.4,1.2,6.8,1.6,0.0
0.2,1.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,5.8,0.4,0.0
0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,4.4,0.2,0.0
0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.4,0.0,0.2,0.0,4.4,0.2,0.0
0.0,0.2,0.2,0.2,0.6,0.0,0.0,71.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.2,0.0,72.8,0.0,0.2,0.0,4.2,0.2,0.0
0.0,0.2,1.2,0.8,0.6,0.0,0.0,82.0,0.6,18.0,208.6,7.8,0.0,0.0,0.4,1.6,0.0,194.4,0.0,1.2,460.8,120.2,0.0,0.0,0.0,4.8,0.2,0.0
0.0,15.2,8.4,3.0,2.2,0.0,0.0,110.8,38.6,83.2,207.4,21.2,106.6,0.0,24.6,6.8,422.2,200.6,3.4,22.2,1025.8,466.2,0.0,0.0,5.2,22.8,0.2,68.8
13.4,21.2,412.4,3.8,18.6,0.0,14.2,491.6,275.2,221.0,297.0,72.8,509.0,0.0,942.8,1034.6,822.4,341.0,405.2,439.8,613.2,458.4,0.0,0.0,0.6,288.4,0.2,91.8
15.6,20.6,552.6,11.2,25.0,0.0,785.2,1521.2,485.0,1263.8,433.6,74.4,403.0,221.4,985.2,1660.0,892.2,748.4,478.6,485.0,260.6,965.2,30.2,0.0,8.6,1079.0,0.0,332.0
30.2,49.6,706.2,98.6,30.0,51.6,1076.8,1626.4,515.6,1562.4,411.6,127.2,522.0,394.0,1537.2,1730.4,845.2,760.6,624.8,524.0,1265.2,1296.0,77.2,52.6,21.2,1435.0,0.0,502.4
1417.0,60.0,884.6,209.8,77.0,533.2,1198.2,2469.0,654.6,1713.8,459.0,329.6,476.8,410.8,1992.6,2193.0,922.4,1091.8,672.0,632.4,1673.6,1394.6,814.4,317.0,59.0,1443.6,0.0,577.2
1708.0,148.8,1095.6,588.2,71.6,601.0,1446.6,2496.2,881.0,1927.4,780.4,798.2,519.6,442.4,2040.2,1956.2,982.6,1874.2,893.2,748.4,1697.8,1586.6,1113.0,652.2,244.4,1328.4,0.0,692.2
2420.6,429.2,2117.0,769.8,63.0,658.8,1639.4,1779.0,975.0,2403.6,1156.0,1134.0,529.8,528.4,2062.8,1930.6,1012.4,2485.0,1087.0,786.8,1756.6,1616.6,1139.8,703.0,332.4,1494.4,3.4,807.4
2701.0,1168.0,2326.8,1141.4,169.4,771.0,1644.2,1805.2,1029.0,2388.8,1443.6,1710.6,578.4,1065.4,2072.0,1925.8,897.0,2592.8,1137.0,1084.8,1781.0,1604.4,1192.8,1087.6,458.4,1511.2,4.0,941.6
2868.2,1749.0,2445.6,1623.2,252.0,835.4,1643.2,1832.4,996.0,2380.0,1538.8,1789.0,598.8,1104.4,2039.0,1872.0,945.8,2650.2,1169.0,1432.8,1801.8,1567.0,1256.8,1375.0,639.6,1425.4,4.4,1044.2
3192.8,2029.0,2558.6,2008.6,385.4,894.4,1701.0,1884.6,1030.4,2379.0,1599.2,1812.4,542.6,1184.2,2044.4,1852.4,982.6,2788.0,1187.0,1878.2,1826.4,1578.6,1285.8,1366.4,670.4,1334.8,4.6,1148.6
3528.8,2327.6,2731.6,2177.6,422.0,1042.4,1520.8,2194.8,1146.4,2372.6,1674.6,1763.8,466.8,1242.2,1606.6,1882.8,282.0,2976.8,1229.0,2202.0,1840.6,1423.6,1380.0,1409.0,673.8,1596.2,29.2,1178.0
3655.4,2470.4,2900.8,2244.6,467.6,1438.8,1469.8,2403.6,1803.6,2379.0,1973.2,1888.6,445.6,1222.6,836.4,1777.0,435.2,3001.6,1232.4,2320.0,1849.6,1024.8,1274.0,1327.2,677.0,1604.0,48.6,1434.0
3839.4,2603.4,3065.6,2415.0,578.2,1646.8,1309.2,2511.0,2643.6,2414.4,2466.8,1958.8,441.2,1267.6,716.2,1650.8,481.4,3076.6,1035.2,2375.8,1870.2,967.0,1228.8,1265.0,681.0,1692.4,19.8,2060.4
3977.6,2666.6,2758.6,2610.8,885.4,1758.6,1420.6,2530.0,2629.2,2355.6,2639.4,1986.8,479.4,1305.2,751.0,1386.8,476.6,2972.0,876.4,2463.4,1650.4,966.0,1055.6,1235.8,662.0,1656.2,22.2,1988.2
4151.8,2739.4,2438.8,2726.8,1036.4,1669.2,1607.8,2573.2,2587.0,2063.4,2727.0,1980.4,480.2,1444.0,828.8,1420.0,465.8,2625.0,928.6,2595.0,1714.4,964.6,1008.6,1188.6,728.8,1643.4,28.8,1975.6
4238.2,2853.8,2448.0,2873.4,1109.4,1718.6,1657.2,2592.4,2457.8,1708.6,2662.2,1986.6,423.0,1597.6,872.4,1467.4,465.8,2652.0,942.8,2816.8,1636.0,948.4,1026.4,1099.4,726.6,1569.6,38.4,1968.8
