0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
939.8,1630.2,1193.8,1648.0,1180.8,1212.8,1070.2,1338.2,1100.2,1142.4,1242.6,1133.0,1359.6,1881.8,977.8,993.8,894.8,853.8,890.4,1282.0,1094.2,640.0,1395.4,956.8,585.2,1170.0,818.4,631.4
956.6,1656.6,1224.6,1676.4,1209.4,1234.6,1101.0,1384.4,1159.4,1193.6,1259.2,1158.6,1391.0,1911.4,986.0,1017.6,924.4,866.6,918.4,1307.2,1127.2,653.2,1429.8,974.4,614.6,1182.8,852.6,656.4
968.8,1692.8,1256.2,1707.0,1235.4,1251.6,1128.6,1430.2,1179.8,1213.4,1282.4,1195.6,1427.6,1941.2,981.0,1046.2,948.2,886.0,945.8,1332.0,1146.0,665.0,1467.8,981.4,644.2,1208.6,892.8,671.8
980.0,1722.6,1277.4,1733.4,1254.4,1269.0,1153.2,1479.8,1206.0,1250.8,1316.6,1222.8,1461.2,1959.8,997.4,1070.8,979.2,896.2,970.2,1356.6,1162.8,687.0,1492.0,994.4,667.8,1233.2,924.0,685.2
1002.8,1744.6,1310.8,1766.0,1271.6,1285.0,1192.4,1517.6,1230.4,1276.0,1343.6,1254.6,1499.2,1969.6,1007.0,1093.0,1009.0,904.8,993.4,1384.6,1189.2,704.0,1525.2,1014.4,686.4,1259.4,944.8,711.4
1019.6,1766.2,1341.6,1798.6,1297.4,1304.4,1215.6,1545.8,1259.2,1297.6,1380.0,1282.4,1543.2,2010.8,1015.4,1116.2,1034.8,917.6,1007.8,1409.0,1222.8,722.8,1542.0,1034.0,703.0,1282.8,965.0,746.0
1029.6,1777.6,1368.6,1822.0,1327.0,1324.8,1233.6,1576.6,1282.0,1311.6,1408.4,1298.0,1581.2,2045.8,1023.2,1135.4,1063.6,934.4,1018.4,1429.0,1245.0,737.8,1558.8,1054.4,716.8,1303.6,997.2,785.2
1047.0,1785.8,1396.2,1848.8,1357.0,1336.4,1266.8,1595.8,1306.0,1320.6,1433.2,1328.2,1604.2,2080.8,1036.4,1160.8,1089.2,952.6,1034.4,1449.6,1267.2,756.6,1580.2,1071.4,728.0,1326.2,1023.4,812.8
1059.2,1792.4,1415.4,1870.8,1387.2,1349.2,1286.8,1611.4,1324.0,1319.0,1464.8,1341.8,1623.2,2116.0,1045.0,1181.2,1117.4,972.2,1052.6,1464.8,1289.2,775.8,1589.0,1086.4,743.4,1349.6,1052.0,830.8
1060.2,1792.0,1441.8,1887.2,1420.2,1362.6,1309.8,1624.6,1340.4,1330.0,1489.0,1356.0,1642.0,2141.0,1051.6,1200.6,1145.8,994.6,1066.2,1477.6,1303.6,789.4,1607.4,1097.6,756.4,1366.2,1072.4,848.6
1067.6,1798.0,1465.4,1907.8,1451.4,1371.4,1332.0,1643.8,1364.4,1339.8,1508.6,1367.4,1648.2,2174.4,1065.8,1222.0,1167.0,1006.2,1066.8,1494.4,1319.0,800.0,1614.0,1109.8,767.0,1376.8,1097.4,864.8
1075.6,1804.0,1487.6,1926.4,1478.6,1380.8,1357.6,1657.4,1381.2,1346.0,1527.0,1383.0,1662.2,2199.0,1075.6,1245.6,1186.2,1021.8,1073.4,1504.6,1336.4,810.4,1615.2,1122.2,777.0,1392.0,1129.4,881.8
1083.6,1809.4,1509.2,1946.4,1500.6,1392.0,1394.4,1671.2,1394.0,1354.4,1543.8,1395.8,1676.4,2215.4,1084.4,1276.6,1204.4,1041.2,1084.0,1513.4,1369.6,818.6,1619.2,1140.2,788.6,1405.2,1154.6,894.2
