case_name,count_sum,count_timeMean
office1_0_82_aout,287894.4,479.0256239600666
office1_0_82_bout,260466.6,433.38868552412646
office1_660_0,86786.0,144.4026622296173
office1_660_123_aout,188333.8,313.367387687188
office1_660_123_bout,151694.2,252.4029950083195
office1_660_164_aout,63804.0,106.1630615640599
office1_660_164_bout,97599.0,162.39434276206322
office1_660_205_aout,54009.0,89.86522462562397
office1_660_205_bout,117649.2,195.7557404326123
office1_660_246_aout,246269.2,409.76572379367724
office1_660_246_bout,86276.2,143.55440931780365
office1_660_41_aout,247854.6,412.4036605657238
office1_660_41_bout,74886.2,124.6026622296173
office1_660_82_aout,52081.6,86.65823627287854
office1_660_82_bout,240010.8,399.3524126455907
office1_960_0,162348.6,270.13078202995007
office1_960_123_aout,182493.4,303.6495840266223
office1_960_123_bout,116327.8,193.55707154742097
office1_960_164_aout,88490.6,147.2389351081531
office1_960_164_bout,115665.2,192.45457570715473
office1_960_205_aout,138228.0,229.99667221297838
office1_960_205_bout,117919.2,196.20499168053243
office1_960_246_aout,149573.4,248.87420965058234
office1_960_246_bout,219692.0,365.54409317803663
office1_960_41_aout,85325.2,141.9720465890183
office1_960_41_bout,145834.4,242.65291181364393
office1_960_82_aout,116755.6,194.26888519134775
office1_960_82_bout,377078.4,627.4183028286191
office22_0_0,261151.4,434.5281198003328
office22_0_164_aout,227479.2,378.5011647254576
office22_0_164_bout,134243.4,223.36672212978368
office22_0_246_aout,189228.6,314.85623960066556
office22_0_246_bout,350802.4,583.697836938436
office22_0_82_aout,278378.4,463.1920133111481
office22_0_82_bout,436132.6,725.6782029950083
office22_360_0,46580.0,77.50415973377704
office22_360_164_aout,87390.4,145.40831946755407
office22_360_164_bout,96353.8,160.322462562396
office22_360_246_aout,125215.0,208.34442595673877
office22_360_246_bout,93384.6,155.3820299500832
office22_360_82_aout,92742.4,154.3134775374376
office22_360_82_bout,55128.6,91.72811980033278
office22_660_0,51584.0,85.83028286189683
office22_660_164_aout,111972.2,186.30981697171381
office22_660_164_bout,103389.4,172.02895174708817
office22_660_246_aout,89390.8,148.736772046589
office22_660_246_bout,105804.2,176.04692179700498
office22_660_82_aout,68731.6,114.36206322795343
